구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기,전기 1분기,전기,전전기,
entity00105271_udf_CF_2012223161837434_AdjustmentsForReconcileProfitLoss      파생상품거래이익,파생상품거래이익,01-02-15,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2012223161837434_AdjustmentsForReconcileProfitLoss,      파생상품거래이익,"-639,317,204","-596,559,959","-2,485,856,972","-2,748,098,679",
dart_AdjustmentsForGainOnForeignExchangeTranslations      외화환산이익,외화환산이익,01-02-08,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForGainOnForeignExchangeTranslations,      외화환산이익,"27,830,940,918","7,694,237,324","16,132,706,953","6,484,764,703",
dart_AdjustmentsForGainOnDispositionOfTangibleAssets      유형자산처분이익,유형자산처분이익,01-02-34,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForGainOnDispositionOfTangibleAssets,      유형자산처분이익,"35,794,812","58,352,394","278,154,256","526,647,520",
entity00105271_udf_CF_20175818513992_AdjustmentsForReconcileProfitLoss      손상차손 환입,손상차손환입,01-02-30,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20175818513992_AdjustmentsForReconcileProfitLoss,      손상차손 환입,"-1,595,677,036",,,,
entity00105271_udf_CF_201751010374226_AdjustmentsForReconcileProfitLoss      산림훼손복구충당부채환입,충당부채환입액,01-02-45,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201751010374226_AdjustmentsForReconcileProfitLoss,      산림훼손복구충당부채환입,,"-479,354,995",,,
entity00105271_udf_CF_201389104941783_AdjustmentsForReconcileProfitLoss      통화스왑거래이익,통화스왑거래이익,01-02-14,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201389104941783_AdjustmentsForReconcileProfitLoss,      통화스왑거래이익,,,,"-1,692,403,328",
entity00105271_udf_CF_201389111640612_AdjustmentsForReconcileProfitLoss      사채상환손실,사채상환손실,01-02-47,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201389111640612_AdjustmentsForReconcileProfitLoss,      사채상환손실,,,,"1,070,000,000",
entity00105271_udf_CF_2017310165551217_AdjustmentsForReconcileProfitLoss      영업권 이외의 무형자산처분이익,무형자산처분이익,01-02-36,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2017310165551217_AdjustmentsForReconcileProfitLoss,      영업권 이외의 무형자산처분이익,,,"-157,307,692",,
entity00105271_udf_CF_201182413631781_AdjustmentsForReconcileProfitLoss      매도가능금융자산처분이익,금융자산처분이익,01-02-19,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201182413631781_AdjustmentsForReconcileProfitLoss,      매도가능금융자산처분이익,,,"-15,274,181,782","-108,264,859,020",
entity00105271_udf_CF_20158794834643_AdjustmentsForReconcileProfitLoss      만기보유금융자산손상차손,만기보유금융자산손상차손,01-02-43,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20158794834643_AdjustmentsForReconcileProfitLoss,      만기보유금융자산손상차손,,,,"244,061,143",
entity00105271_udf_CF_201431194321294_AdjustmentsForReconcileProfitLoss      관계기업투자주식손상차손,종속기업/관계기업/공동기업투자손상차손,01-02-42,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201431194321294_AdjustmentsForReconcileProfitLoss,      관계기업투자주식손상차손,,,,"33,680,046,214",
entity00105271_udf_CF_20163101176376_AdjustmentsForReconcileProfitLoss      공동기업투자주식처분이익,금융자산처분이익,01-02-19,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20163101176376_AdjustmentsForReconcileProfitLoss,      공동기업투자주식처분이익,,,,"-17,858,015,333",
