account_name,year,quarter,value,unit
이자비용,2025,Q3,2.48052E+11,KRW
이자수익,2020,Q1,5949433010,KRW
이자수익,2020,Q2,11478714998,KRW
이자수익,2020,Q3,16030903253,KRW
이자수익,2020,Q4,19862672394,KRW
이자수익,2021,Q1,1848496492,KRW
이자수익,2021,Q2,5927285238,KRW
이자수익,2021,Q3,7634459080,KRW
이자수익,2021,Q4,7943512245,KRW
이자수익,2022,Q1,1243583877,KRW
이자수익,2022,Q2,2530645949,KRW
이자수익,2022,Q3,4846534843,KRW
이자수익,2022,Q4,10600038049,KRW
이자수익,2023,Q1,6824389334,KRW
이자수익,2023,Q2,14822795855,KRW
이자수익,2023,Q3,23876380421,KRW
이자수익,2023,Q4,33625432678,KRW
이자수익,2024,Q1,9658645465,KRW
이자수익,2024,Q2,18904689017,KRW
이자수익,2024,Q3,26889278757,KRW
이자수익,2024,Q4,36029843068,KRW
이자수익,2025,Q1,4696690836,KRW
이자수익,2025,Q2,9880689353,KRW
이자수익,2025,Q3,16720771623,KRW
배당금수익,2020,Q1,-37116222160,KRW
배당금수익,2020,Q2,-37116222160,KRW
배당금수익,2020,Q3,-37116222160,KRW
배당금수익,2020,Q4,-37116222160,KRW
배당금수익,2021,Q1,-44203652510,KRW
배당금수익,2021,Q2,-44203694370,KRW
배당금수익,2021,Q3,-44776561370,KRW
배당금수익,2021,Q4,-44866782410,KRW
배당금수익,2022,Q1,-76131392910,KRW
배당금수익,2022,Q2,-76275384998,KRW
배당금수익,2022,Q3,-76880011070,KRW
배당금수익,2022,Q4,-76887951070,KRW
배당금수익,2023,Q1,-43826682900,KRW
배당금수익,2023,Q2,-43826682900,KRW
배당금수익,2023,Q3,-44285161100,KRW
배당금수익,2023,Q4,-44285161100,KRW
배당금수익,2024,Q1,-48061814300,KRW
배당금수익,2024,Q2,-48061814300,KRW
배당금수익,2024,Q3,-48520292501,KRW
배당금수익,2024,Q4,-48520292501,KRW
배당금수익,2025,Q1,-62913240801,KRW
배당금수익,2025,Q2,-62913240801,KRW
배당금수익,2025,Q3,-72129691068,KRW
금융보증비용,2020,Q1,17787346425,KRW
금융보증비용,2020,Q2,29564731640,KRW
금융보증비용,2020,Q3,30438397903,KRW
금융보증비용,2020,Q4,29529096832,KRW
금융보증비용,2021,Q1,1438494246,KRW
금융보증비용,2021,Q2,2862442550,KRW
금융보증비용,2021,Q3,4538778409,KRW
금융보증비용,2021,Q4,6097039541,KRW
금융보증비용,2022,Q1,1598461836,KRW
금융보증비용,2022,Q2,4373367419,KRW
금융보증비용,2022,Q3,7331480778,KRW
금융보증비용,2022,Q4,7536864629,KRW
금융보증비용,2023,Q1,341521283,KRW
금융보증비용,2023,Q2,693948706,KRW
금융보증비용,2023,Q3,1072890854,KRW
금융보증비용,2023,Q4,1373619740,KRW
금융보증비용,2024,Q1,357067656,KRW
금융보증비용,2024,Q2,738751554,KRW
금융보증비용,2024,Q3,1056624834,KRW
금융보증비용,2024,Q4,1570292220,KRW
금융보증비용,2025,Q1,384901990,KRW
금융보증비용,2025,Q2,717701081,KRW
금융보증비용,2025,Q3,1118686378,KRW
금융보증수익,2020,Q1,,KRW
금융보증수익,2020,Q2,,KRW
금융보증수익,2020,Q3,,KRW
금융보증수익,2020,Q4,,KRW
금융보증수익,2021,Q1,,KRW
금융보증수익,2021,Q2,,KRW
금융보증수익,2021,Q3,,KRW
