기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2025-12-31,2025,YTD,2025 YTD,도료,영업이익,영업이익,219442,백만원,2025YTD|도료|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 도료의 영업이익은 219442백만원이며 기준일은 2025-12-31입니다.,219442
2025-12-31,2025,YTD,2025 YTD,도료,영업이익,영업이익률(%),11.49,%,2025YTD|도료|영업이익|영업이익률(%)|%,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 도료 영업이익률(%) | 사업부 | 부문정보 | 도료 | 영업이익률(%) | 도료사업부 | paint | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 YTD분기 사업부 부문정보 기준 도료의 영업이익률은 11.49%이며 기준일은 2025-12-31입니다.,11.49
2025-12-31,2025,YTD,2025 YTD,기타,매출액,매출액,470631,백만원,2025YTD|기타|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 기타의 매출액은 470631백만원이며 기준일은 2025-12-31입니다.,470631
2025-12-31,2025,YTD,2025 YTD,기타,영업이익,영업이익,21142,백만원,2025YTD|기타|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 기타의 영업이익은 21142백만원이며 기준일은 2025-12-31입니다.,21142
2025-12-31,2025,YTD,2025 YTD,기타,영업이익,영업이익률(%),4.5,%,2025YTD|기타|영업이익|영업이익률(%)|%,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 기타 영업이익률(%) | 사업부 | 부문정보 | 기타 | 영업이익률(%) | other | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 YTD분기 사업부 부문정보 기준 기타의 영업이익률은 4.5%이며 기준일은 2025-12-31입니다.,4.5
2025-12-31,2025,YTD,2025 YTD,연결조정,영업이익,영업이익,22879,백만원,2025YTD|연결조정|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 연결조정 영업이익 | 사업부 | 부문정보 | 연결조정 | 영업이익 | 조정 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 연결조정의 영업이익은 22879백만원이며 기준일은 2025-12-31입니다.,22879
2026-03-31,2026,Q1,2026 Q1,전사(공통),매출액,매출액,1609666,백만원,2026Q1|전사(공통)|매출액|매출액|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2026년 1분기 사업부 부문정보 기준 전사(공통)의 매출액은 1609666백만원이며 기준일은 2026-03-31입니다.,1609666
2026-03-31,2026,Q1,2026 Q1,전사(공통),영업이익,영업이익,93647,백만원,2026Q1|전사(공통)|영업이익|영업이익|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2026년 1분기 사업부 부문정보 기준 전사(공통)의 영업이익은 93647백만원이며 기준일은 2026-03-31입니다.,93647
2026-03-31,2026,Q1,2026 Q1,전사(공통),영업이익,영업이익률(%),5.8,%,2026Q1|전사(공통)|영업이익|영업이익률(%)|%,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 전사(공통) 영업이익률(%) | 사업부 | 부문정보 | 전사(공통) | 영업이익률(%) | 전사 | 공통 | operating margin | op margin | 이익률 | 수익성 | margin | %,2026년 1분기 사업부 부문정보 기준 전사(공통)의 영업이익률은 5.8%이며 기준일은 2026-03-31입니다.,5.8
2026-03-31,2026,Q1,2026 Q1,전사(공통),당기순이익,당기순이익,221137,백만원,2026Q1|전사(공통)|당기순이익|당기순이익|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 전사(공통) 당기순이익 | 사업부 | 부문정보 | 전사(공통) | 당기순이익 | 전사 | 공통 | 순이익 | net income | net profit | 당기순익 | 백만원,2026년 1분기 사업부 부문정보 기준 전사(공통)의 당기순이익은 221137백만원이며 기준일은 2026-03-31입니다.,221137
2026-03-31,2026,Q1,2026 Q1,전사(공통),당기순이익,당기순이익률(%),13.7,%,2026Q1|전사(공통)|당기순이익|당기순이익률(%)|%,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 전사(공통) 당기순이익률(%) | 사업부 | 부문정보 | 전사(공통) | 당기순이익률(%) | 전사 | 공통 | 순이익률 | net margin | 수익성 | 당기순익률 | %,2026년 1분기 사업부 부문정보 기준 전사(공통)의 당기순이익률은 13.7%이며 기준일은 2026-03-31입니다.,13.7
2026-03-31,2026,Q1,2026 Q1,실리콘,매출액,매출액,806074,백만원,2026Q1|실리콘|매출액|매출액|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2026년 1분기 사업부 부문정보 기준 실리콘의 매출액은 806074백만원이며 기준일은 2026-03-31입니다.,806074
2026-03-31,2026,Q1,2026 Q1,실리콘,영업이익,영업이익,2558,백만원,2026Q1|실리콘|영업이익|영업이익|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2026년 1분기 사업부 부문정보 기준 실리콘의 영업이익은 2558백만원이며 기준일은 2026-03-31입니다.,2558
2026-03-31,2026,Q1,2026 Q1,실리콘,영업이익,영업이익률(%),0.3,%,2026Q1|실리콘|영업이익|영업이익률(%)|%,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 실리콘 영업이익률(%) | 사업부 | 부문정보 | 실리콘 | 영업이익률(%) | 실리콘사업부 | silicone | operating margin | op margin | 이익률 | 수익성 | margin | %,2026년 1분기 사업부 부문정보 기준 실리콘의 영업이익률은 0.3%이며 기준일은 2026-03-31입니다.,0.3
2026-03-31,2026,Q1,2026 Q1,건자재,매출액,매출액,230786,백만원,2026Q1|건자재|매출액|매출액|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2026년 1분기 사업부 부문정보 기준 건자재의 매출액은 230786백만원이며 기준일은 2026-03-31입니다.,230786
2026-03-31,2026,Q1,2026 Q1,건자재,영업이익,영업이익,27066,백만원,2026Q1|건자재|영업이익|영업이익|백만원,2026 Q1 | 2026년 Q1 | 2026년 1분기 | 2026-03-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2026년 1분기 사업부 부문정보 기준 건자재의 영업이익은 27066백만원이며 기준일은 2026-03-31입니다.,27066
