재무계정,사업부,상세항목,기간,수치,단위
영업이익,전사(공통),영업이익 (총계),2022-12-31,57641,백만원
영업이익,전사(공통),영업이익률(%),2022-12-31,0.004,백만원
영업이익,전사(공통),QoQ(%),2022-12-31,-0.04,백만원
영업이익,전사(공통),YoY(%),2022-12-31,-0.023,백만원
영업이익,실리콘,영업이익,2022-12-31,14535,백만원
영업이익,실리콘,영업이익률(%),2022-12-31,0.002,백만원
영업이익,실리콘,QoQ(%),2022-12-31,-0.061,백만원
영업이익,실리콘,YoY(%),2022-12-31,-0.067,백만원
영업이익,건자재,영업이익,2022-12-31,31038,백만원
영업이익,건자재,영업이익률(%),2022-12-31,0.01,백만원
영업이익,건자재,QoQ(%),2022-12-31,0.004,백만원
영업이익,건자재,YoY(%),2022-12-31,0.044,백만원
영업이익,도료,영업이익,2022-12-31,10014,백만원
영업이익,도료,영업이익률(%),2022-12-31,0.003,백만원
영업이익,도료,QoQ(%),2022-12-31,-0.054,백만원
영업이익,도료,YoY(%),2022-12-31,흑자전환,백만원
영업이익,기타,영업이익,2022-12-31,-3357,백만원
영업이익,기타,영업이익률(%),2022-12-31,-0.003,백만원
영업이익,기타,QoQ(%),2022-12-31,적자전환,백만원
영업이익,기타,YoY(%),2022-12-31,적자전환,백만원
당기순이익,전사(공통),당기순이익 (총계),2022-12-31,79606,백만원
당기순이익,전사(공통),당기순익률(%),2022-12-31,0.005,백만원
당기순이익,전사(공통),QoQ(%),2022-12-31,-0.13,백만원
당기순이익,전사(공통),YoY(%),2022-12-31,흑자전환,백만원
당기순이익,전사(공통),지배순이익,2022-12-31,125933,백만원
매출액,전사(공통),매출액 (총계),2023-03-31,1565,백만원
매출액,전사(공통),QoQ(%),2023-03-31,-0.005,백만원
매출액,전사(공통),YoY(%),2023-03-31,-0.004,백만원
매출액,실리콘,실리콘,2023-03-31,804,백만원
매출액,건자재,건자재,2023-03-31,289,백만원
매출액,도료,도료,2023-03-31,347,백만원
매출액,기타,기타,2023-03-31,125,백만원
영업이익,전사(공통),영업이익 (총계),2023-03-31,76,백만원
영업이익,전사(공통),영업이익률(%),2023-03-31,0.005,백만원
영업이익,전사(공통),QoQ(%),2023-03-31,0.032,백만원
영업이익,전사(공통),YoY(%),2023-03-31,-0.049,백만원
영업이익,실리콘,영업이익,2023-03-31,13,백만원
영업이익,실리콘,영업이익률(%),2023-03-31,0.002,백만원
영업이익,실리콘,QoQ(%),2023-03-31,-0.009,백만원
영업이익,실리콘,YoY(%),2023-03-31,-0.088,백만원
영업이익,건자재,영업이익,2023-03-31,35,백만원
영업이익,건자재,영업이익률(%),2023-03-31,0.012,백만원
영업이익,건자재,QoQ(%),2023-03-31,0.013,백만원
영업이익,건자재,YoY(%),2023-03-31,0.066,백만원
영업이익,도료,영업이익,2023-03-31,21,백만원
영업이익,도료,영업이익률(%),2023-03-31,0.006,백만원
영업이익,도료,QoQ(%),2023-03-31,0.109,백만원
영업이익,도료,YoY(%),2023-03-31,0.201,백만원
영업이익,기타,영업이익,2023-03-31,-2,백만원
영업이익,기타,영업이익률(%),2023-03-31,-0.001,백만원
영업이익,기타,QoQ(%),2023-03-31,적자지속,백만원
영업이익,기타,YoY(%),2023-03-31,적자전환,백만원
당기순이익,전사(공통),당기순이익 (총계),2023-03-31,-15,백만원
당기순이익,전사(공통),당기순익률(%),2023-03-31,-0.001,백만원
당기순이익,전사(공통),QoQ(%),2023-03-31,적자전환,백만원
당기순이익,전사(공통),YoY(%),2023-03-31,적자전환,백만원
당기순이익,전사(공통),지배순이익,2023-03-31,8,백만원
매출액,전사(공통),매출액 (총계),2023-06-30,1588,백만원
매출액,전사(공통),QoQ(%),2023-06-30,0.002,백만원
매출액,전사(공통),YoY(%),2023-06-30,-0.01,백만원
매출액,실리콘,실리콘,2023-06-30,764,백만원
매출액,건자재,건자재,2023-06-30,257,백만원
매출액,도료,도료,2023-06-30,425,백만원
매출액,기타,기타,2023-06-30,141,백만원
영업이익,전사(공통),영업이익 (총계),2023-06-30,90,백만원
영업이익,전사(공통),영업이익률(%),2023-06-30,0.006,백만원
영업이익,전사(공통),QoQ(%),2023-06-30,0.019,백만원
영업이익,전사(공통),YoY(%),2023-06-30,-0.045,백만원
영업이익,실리콘,영업이익,2023-06-30,-16,백만원
영업이익,실리콘,영업이익률(%),2023-06-30,-0.002,백만원
영업이익,실리콘,QoQ(%),2023-06-30,적자전환,백만원
영업이익,실리콘,YoY(%),2023-06-30,적자전환,백만원
영업이익,건자재,영업이익,2023-06-30,48,백만원
영업이익,건자재,영업이익률(%),2023-06-30,0.019,백만원
영업이익,건자재,QoQ(%),2023-06-30,0.036,백만원
영업이익,건자재,YoY(%),2023-06-30,0.026,백만원
영업이익,도료,영업이익,2023-06-30,48,백만원
영업이익,도료,영업이익률(%),2023-06-30,0.011,백만원
영업이익,도료,QoQ(%),2023-06-30,0.127,백만원
영업이익,도료,YoY(%),2023-06-30,0.138,백만원
영업이익,기타,영업이익,2023-06-30,8,백만원
영업이익,기타,영업이익률(%),2023-06-30,0.006,백만원
영업이익,기타,QoQ(%),2023-06-30,흑자전환,백만원
