분류,항목,기간,수치,단위
손익계산서(연결),계속영업희석주당이익(손실),2020-12-31,67221,원
손익계산서(연결),중단영업희석주당이익(손실),2020-12-31,5724,원
손익계산서(연결),매출액,2021-12-31,5.8749E+12,원
손익계산서(연결),매출원가,2021-12-31,4.54833E+12,원
손익계산서(연결),매출총이익,2021-12-31,1.32656E+12,원
손익계산서(연결),판매비와관리비,2021-12-31,9.37795E+11,원
손익계산서(연결),영업이익,2021-12-31,3.8877E+11,원
손익계산서(연결),지분법손익,2021-12-31,1.91595E+11,원
손익계산서(연결),순금융손익,2021-12-31,-3.73141E+11,원
손익계산서(연결),금융수익,2021-12-31,3.21136E+11,원
손익계산서(연결),금융원가,2021-12-31,6.94277E+11,원
손익계산서(연결),기타영업외손익,2021-12-31,-94369746072,원
손익계산서(연결),기타이익,2021-12-31,79007973234,원
손익계산서(연결),기타손실,2021-12-31,1.73378E+11,원
손익계산서(연결),법인세비용차감전이익,2021-12-31,1.12854E+11,원
손익계산서(연결),법인세비용(수익),2021-12-31,1.66065E+11,원
손익계산서(연결),당기순손익,2021-12-31,-53211168479,원
손익계산서(연결),계속영업당기순손익,2021-12-31,-53211168479,원
손익계산서(연결),기타포괄손익,2021-12-31,2.77895E+11,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2021-12-31,2.2414E+11,원
손익계산서(연결),지분법자본변동,2021-12-31,24629352675,원
손익계산서(연결),현금흐름위험회피,2021-12-31,1.15289E+11,원
손익계산서(연결),해외사업환산손익,2021-12-31,84221805084,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2021-12-31,53754393730,원
손익계산서(연결),확정급여제도의 재측정요소,2021-12-31,38355666318,원
손익계산서(연결),지분법이익잉여금변동,2021-12-31,5511276286,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2021-12-31,9887451126,원
손익계산서(연결),총포괄손익,2021-12-31,2.24683E+11,원
손익계산서(연결),지배기업소유주지분,2021-12-31,-45780239737,원
손익계산서(연결),비지배지분,2021-12-31,-7430928742,원
손익계산서(연결),지배기업소유주지분,2021-12-31,1.61742E+11,원
손익계산서(연결),비지배지분,2021-12-31,62941023755,원
손익계산서(연결),계속영업기본주당이익(손실),2021-12-31,-5978,원
손익계산서(연결),계속영업희석주당이익(손실),2021-12-31,-5978,원
손익계산서(연결),매출액,2022-12-31,6.77479E+12,원
손익계산서(연결),매출원가,2022-12-31,5.28988E+12,원
손익계산서(연결),매출총이익,2022-12-31,1.48491E+12,원
손익계산서(연결),판매비와관리비,2022-12-31,1.01725E+12,원
손익계산서(연결),영업이익,2022-12-31,4.67662E+11,원
손익계산서(연결),지분법손익,2022-12-31,25053021457,원
손익계산서(연결),순금융손익,2022-12-31,-3.03182E+11,원
손익계산서(연결),금융수익,2022-12-31,3.68733E+11,원
손익계산서(연결),금융원가,2022-12-31,6.71914E+11,원
손익계산서(연결),기타영업외손익,2022-12-31,-77579045467,원
손익계산서(연결),기타이익,2022-12-31,62670235047,원
손익계산서(연결),기타손실,2022-12-31,1.40249E+11,원
손익계산서(연결),법인세비용차감전이익,2022-12-31,1.11954E+11,원
손익계산서(연결),법인세비용(수익),2022-12-31,83292295663,원
손익계산서(연결),당기순손익,2022-12-31,28661656966,원
손익계산서(연결),계속영업당기순손익,2022-12-31,28661656966,원
손익계산서(연결),기타포괄손익,2022-12-31,2.99607E+11,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2022-12-31,1.04383E+11,원
손익계산서(연결),지분법자본변동,2022-12-31,21406878826,원
손익계산서(연결),현금흐름위험회피,2022-12-31,1.21121E+11,원
손익계산서(연결),해외사업환산손익,2022-12-31,-38145429756,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2022-12-31,1.95224E+11,원
손익계산서(연결),확정급여제도의 재측정요소,2022-12-31,1.79704E+11,원
손익계산서(연결),지분법이익잉여금변동,2022-12-31,25841355344,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2022-12-31,-10321369849,원
손익계산서(연결),총포괄손익,2022-12-31,3.28269E+11,원
손익계산서(연결),지배기업소유주지분,2022-12-31,33862990909,원
손익계산서(연결),비지배지분,2022-12-31,-5201333943,원
