,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누적 기준,제출시점 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
12-01,   후속기간에 당기손익으로 재분류되는 항목,"64,568,646,543 ","579,442,583,549 ","328,695,966,709 ","-64,133,855,095 ","17,784,095,628 ","13,855,616,414 ","-16,651,707,947 ","-8,456,469,658 ","19,382,514,832 ","11,316,365,648 ","26,744,292,004 ","-18,786,846,091 ","32,106,227,407 ",0 ,0 ,"-95,425,240,624 ","92,596,695,274 ",0 ,0 ,"224,140,120,708 ","75,600,434,931 ","127,262,035,439 ",0 ,"104,382,659,448 ","48,850,263,249 ",0 ,"-59,396,603,901 ","-79,767,454,463 ","-6,581,750,725 ","-67,569,025,362 ","-15,465,224,898 ","-18,472,472,412 ","64,913,101,134 ","-21,406,304,856 ","45,996,657,950 "
12-01-01,      지분법자본변동,"-11,334,132,581 ","-7,958,908,372 ","-7,316,779,651 ","-11,203,692,207 ",0 ,"-3,443,978,056 ","-4,216,788,085 ","-1,795,663,465 ","-800,216,715 ","-7,856,903,384 ","-558,059,862 ","-33,379,307,564 ","32,028,310,893 ","31,152,023,502 ","29,951,089,606 ","31,581,097,860 ","-279,342,555 ","969,365,930 ","1,135,013,459 ","24,629,352,675 ","11,767,204,193 ","21,697,634,288 ","53,386,613,255 ","21,406,878,826 ","11,297,240,444 ","357,732,550 ","2,146,075,016 ","6,561,877,418 ","-3,915,303,710 ","-53,025,279,957 ","-52,142,775,472 ","-50,989,265,531 ","49,012,307,869 ","48,092,665,988 ","49,283,382,282 "
12-01-02,      현금흐름위험회피,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"-54,956,991,492 ","-66,871,389,533 ","-93,055,884,718 ","-115,631,032,967 ","62,243,006,403 ","64,501,411,363 ","79,297,119,909 ","115,288,962,949 ","53,723,633,057 ","94,589,445,356 ","123,293,912,972 ","121,121,210,378 ","-22,246,515,643 ","-38,549,395,691 ","-61,909,925,330 ","-87,402,559,270 ","-23,135,727,410 ","-23,135,727,410 ","-23,135,727,410 ","-23,135,727,410 ",0 ,0 ,0 
12-01-03,      해외사업환산손익,"-24,560,270,513 ","-21,360,213,391 ","-6,888,728,454 ","-52,930,162,888 ",0 ,"17,299,594,470 ","-12,434,919,862 ","-6,660,806,193 ","20,182,731,547 ","19,173,269,032 ","27,302,351,866 ","14,592,461,473 ","55,034,908,006 ","33,831,888,930 ","47,777,833,948 ","-11,375,305,517 ","30,633,031,426 ","39,605,376,778 ","100,436,634,937 ","84,221,805,084 ","10,109,597,681 ","10,974,955,795 ","83,584,209,490 ","-38,145,429,756 ","59,799,538,448 ","9,670,662,286 ","367,246,413 ","1,073,227,389 ","20,469,280,395 ","8,591,982,005 ","59,813,277,984 ","55,652,520,529 ","61,223,403,474 ","-24,176,360,635 ","41,951,143,981 "
12-01-04,      매도가능금융자산평가손익(세후기타포괄손익),"100,463,049,637 ","608,761,705,312 ","342,901,474,814 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
12-02,   후속기간에 당기손익으로 재분류되지 않는 항목,0 ,0 ,0 ,"18,482,130,030 ",0 ,0 ,0 ,"-4,226,988,425 ",0 ,0 ,0 ,"-1,577,188,437 ","-40,644,302,549 ",0 ,0 ,"-56,341,071,866 ","5,745,796,466 ",0 ,0 ,"53,754,393,730 ","1,143,325,215 ","-5,313,872,750 ",0 ,"195,224,339,503 ","594,781,352 ",0 ,"1,161,668,207 ","-57,510,898,458 ","-2,569,035,274 ","-2,837,927,683 ","-2,641,011,840 ","14,796,054,893 ","951,497,937,513 ","953,551,405,443 ","948,669,557,160 "
12-02-01,      확정급여제도의 재측정요소,0 ,0 ,0 ,"18,482,130,030 ",0 ,0 ,0 ,"-4,226,988,425 ",0 ,0 ,0 ,"-1,026,283,605 ",0 ,0 ,0 ,"-22,539,842,312 ",0 ,"-4,930,699,268 ","-4,930,699,268 ","38,355,666,318 ","-149,698,988 ","-153,176,372 ","-157,643,923 ","179,704,354,008 ","58,596,996 ","59,519,743 ","59,775,007 ","-61,141,136,634 ","-1,717,013,353 ","-1,744,220,707 ","-1,748,552,060 ","16,709,577,155 ",0 ,0 ,0 
12-02-02,      지분법이익잉여금변동,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"-550,904,832 ","72,749,772 ","72,749,772 ","82,593,751 ","-991,065,677 ","146,209,508 ","59,172,252 ","59,172,252 ","5,511,276,286 ","-207,728,256 ","-208,213,264 ","-41,977,552 ","25,841,355,344 ","-634,309,935 ","-634,276,585 ","-634,276,585 ","1,850,554,892 ","-344,103,424 ","-344,104,963 ","-142,857,767 ","-142,857,779 ","1,026,469,988 ","1,001,743,515 ","2,950,480,930 "
12-02-03,      기타포괄손익-공정가치측정금융자산평가이익(손실),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"-40,717,052,321 ","-34,588,678,080 ","-36,152,913,463 ","-32,810,163,877 ","5,599,586,958 ","11,088,053,093 ","13,789,407,519 ","9,887,451,126 ","1,500,752,459 ","-4,952,483,114 ","-8,554,289,015 ","-10,321,369,849 ","1,170,494,291 ","3,259,142,268 ","1,736,169,785 ","1,779,683,284 ","-507,918,497 ","-749,602,013 ","-749,602,013 ","-1,770,664,483 ","-2,268,839,458 ","-1,520,315,872 ","-3,437,266,519 "
12-02-04,      보험수리적손익,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
