,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01-02-14,통화스왑거래이익, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-15,파생상품거래이익,"-639,317,204 ","-1,345,718,695 ","-1,977,230,167 ","-2,698,964,598 ","-760,812,686 "," 3,233,940,377 "," 3,870,529,111 "," 4,518,777,500 "," 670,267,243 "," 1,367,179,885 "," 1,973,708,169 "," 2,585,673,040 "," 573,783,702 "," 1,184,194,915 "," 6,537,292,609 "," 6,537,292,609 "," 52,761,159 "," 170,749,023 "," 220,224,963 "," 479,462,753 "," 3,505,193 "," 353,469,213 "," 892,403,973 "," 1,957,522,670 "," 438,278,363 "," 1,032,777,738 "," 1,963,037,372 "," 3,052,539,538 "," 663,974,161 "," 3,538,976,948 "," 4,150,604,963 "," 4,736,717,094 "," 5,394,589,387 "," 5,489,203,680 "," 5,604,632,773 "
01-02-16,당기손익인식금융자산평가손실, - , - , - ," 90,885,136,565 "," 29,243,472,860 "," 210,010,491,920 "," 58,085,064,925 "," 446,180,097,508 "," 53,667,546,080 "," 236,254,550,620 "," 338,191,833,430 "," 69,573,316,770 "," 589,057,848,625 "," 209,906,847,346 "," 279,229,110,030 "," 92,586,850,666 "," 230,447,792,645 "," 25,656,849,520 "," 277,255,738,058 "," 397,338,283,272 "," 126,627,077,660 "," 62,718,772,117 "," 387,011,763,496 "," 240,735,205,904 "," 94,022,533,975 "," 146,789,966,092 "," 114,966,665,863 "," 22,608,838,229 "," 15,340,981,393 "," 7,271,651,135 "," 10,989,481,303 "," 258,258,126,187 "," 74,806,620,625 "," 2,642,041,461 "," 673,394,622 "
01-02-17,당기손익인식금융자산평가이익, - , - , - ," 184,950,825,564 "," 438,705,181,670 "," 60,471,824,510 "," 272,223,357,110 "," 148,889,575,678 "," 35,956,413,070 "," 220,576,975 "," 59,967,050 "," 52,360,131,111 ", - ," 130,593,055,102 "," 5,102,649,613 "," 521,267,541,249 "," 139,884,232,957 "," 152,278,405,023 "," 27,225,077,626 "," 14,000,469,135 "," 3,795,814,411 "," 71,973,266,287 "," 8,793,416,474 "," 5,256,319,793 "," 33,350,116,755 "," 153,089,918,339 "," 129,659,192,646 "," 452,438,333,769 "," 514,488,151,114 "," 351,859,641,400 "," 367,288,694,786 "," 342,195,674,089 "," 52,388,940,842 "," 1,223,076,939,504 "," 1,719,765,712,580 "
01-02-18,금융자산처분손실, - ," 1,000 "," 1,000 "," 1,000 "," 14,850 "," 9,182,378 "," 9,183,378 "," 9,183,378 ", - ," 799,036,868 "," 2,773,028,242 "," 6,333,956,970 "," 202,978,099 "," 202,978,099 "," 202,978,099 "," 202,978,099 "," 4,021,197 "," 4,021,197 "," 4,021,197 "," 4,021,197 "," 15,663,240,224 "," 15,663,245,224 "," 15,663,279,614 "," 15,674,917,512 "," 528,440,655 "," 528,440,655 "," 528,440,655 "," 528,440,655 "," 391,982,158 "," 391,982,158 "," 391,982,158 "," 399,003,418 "," 6,283,929,636 "," 7,732,564,364 "," 7,732,564,364 "
01-02-19,금융자산처분이익, - ,"-3,567,723,605 "," 3,567,723,605 "," 1,147,723,605 "," 1,126,588,196 "," 136,004,462,592 "," 158,089,966,477 "," 158,089,966,477 "," 2,076,454,596 "," 3,319,753,713 "," 3,319,753,713 "," 4,095,129,938 "," 102,341,768 "," 102,341,768 "," 1,170,642,770 "," 3,438,305,457 ", - ," 209,038,805 "," 3,761,535,657 "," 11,609,267,509 "," 5,888,846,591 "," 10,899,249,149 "," 20,888,533,882 "," 24,778,229,892 "," 13,465,589,995 "," 27,556,018,215 "," 28,976,554,664 "," 29,823,775,485 "," 3,661,008,366 "," 6,108,891,488 "," 7,745,604,982 "," 11,204,628,280 "," 543,203,313 "," 3,606,805,428 "," 4,832,581,986 "
01-02-20,종속기업/관계기업/공동기업투자처분손실, - , - , - , - , - ," 655,905,470 "," 655,905,470 "," 655,905,470 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-21,종속기업/관계기업/공동기업투자처분이익, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-22,리스부채의 상각, - , - , - , - , - , - , - , - , - , - , - , - , - ,"-1,905,112,817 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-23,감가상각비," 46,622,276,619 "," 95,116,594,217 "," 149,505,539,798 "," 203,994,948,646 "," 54,272,173,012 "," 114,122,359,729 "," 173,076,232,172 "," 231,472,559,533 "," 55,980,704,621 "," 109,926,790,441 "," 163,012,772,967 "," 213,033,111,581 "," 41,744,057,348 "," 86,724,219,976 "," 129,421,078,341 "," 164,846,571,286 "," 36,256,450,520 "," 72,754,017,856 "," 108,686,515,814 "," 144,136,565,914 "," 35,160,031,493 "," 70,026,315,718 "," 103,968,208,910 "," 137,556,992,813 "," 35,453,529,399 "," 70,442,264,508 "," 102,530,858,291 "," 139,486,940,074 "," 34,402,193,591 "," 69,816,689,246 "," 105,214,758,892 "," 142,701,453,516 "," 33,908,257,282 "," 67,697,161,668 "," 99,387,471,204 "
