 연결손익계산서 (K-IFRS),,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 원),
,,,,,,,,,,,,,,,,,,,,,,(단위: 백만원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 원),,,,제 68 기 1분기,,제 68 기 반기,,제 68 기 3분기,,제 68 기
,,2021 ,1Q22,2Q22,3Q22,4Q22,2022 ,1Q23,2Q23,3Q23,4Q23,2023 ,1Q24,2Q24,3Q24,4Q24,2024 ,1Q25,2Q25,3Q25,4Q25,2025 ,QoQ,QoQ(%),YoY,YoY(%),,(단위 : 원),,,,제 66 기 3분기,,제 65 기 3분기,,제 66 기 반기,,제 65 기 반기,,제 66 기 1분기,,제 65 기 1분기,,,,제 67 기 1분기,,제 66 기 1분기,,,제 67 기 반기,,제 66 기 반기,,,제 67 기 3분기,,제 66 기 3분기,,,,제 67 기,,,3개월,,3개월,,3개월,,
,　 해외사업장순투자위험회피,,,,,,,,,,,,,,,,,,,,"-6,348","-6,348",,,,,,,"1,073,227,389","-38,145,429,756","84,221,805,084","-9,303,415,873","367,246,413","72,609,253,695","83,584,209,490","-50,128,876,162","9,670,662,286","865,358,114","10,974,955,795","59,799,538,448","59,799,538,448","10,109,597,681","10,109,597,681",,,"20,469,280,395","20,469,280,395","59,799,538,448","59,799,538,448",,"-11,877,298,390","8,591,982,005","-50,128,876,162","9,670,662,286",,"51,221,295,979","59,813,277,984","-9,303,415,873","367,246,413",,　　해외사업환산손익 등,"55,652,520,529",,　　해외사업환산손익 등,"61,223,403,474",　　해외사업환산손익 등,"-85,399,764,109",　　해외사업환산손익 등,"66,127,504,616",　　해외사업장순투자위험회피,"-6,348,133,768"
,　 해외사업환산손익 등,"84,222","10,110",865,"72,609","-121,730","-38,145","59,800","-50,129","-9,303",706,"1,073","20,469","-11,877","51,221","-4,161","55,653","61,223","-85,400","66,128","54,681","96,632",,,,,,　　해외사업환산손익,"-57,510,898,458","195,224,339,503","53,754,393,730","-1,522,717,219","1,161,668,207","-3,440,037,740","-8,753,910,490",,,,,"594,781,352","594,781,352","1,143,325,215","1,143,325,215",,,"-2,569,035,274","-2,569,035,274","594,781,352","594,781,352",,"-268,892,409","-2,837,927,683","2,089,604,074","2,684,385,426",,"196,915,843","-2,641,011,840","-1,522,717,219","1,161,668,207",,　후속기간에 당기손익으로 재분류되지 않는 항목,"14,796,054,893",,　후속기간에 당기손익으로 재분류되지 않는 항목,"951,497,937,513",　후속기간에 당기손익으로 재분류되지 않는 항목,"2,053,467,930",　후속기간에 당기손익으로 재분류되지 않는 항목,"-4,881,848,283",　　해외사업환산손익 등,"96,632,213,560"
,  후속기간에 당기손익으로 재분류되지 않는 항목,"53,754","1,143",,"-3,440","197,521","195,224",595,,"-1,523","-56,583","-57,511","-2,569",-269,197,"17,437","14,796","951,498","2,053","-4,882","47,655","996,324",,,,,,　후속기간에 당기손익으로 재분류되지 않는 항목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　지분법자본변동,"45,322,610,209",　　지분법자본변동,,　　확정급여제도의 재측정요소,,　후속기간에 당기손익으로 재분류되지 않는 항목,"996,324,212,271"
,　　지분법자본변동,,,,,,,,,,,,,,,,,"45,323",,,285,"45,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　재평가이익,"907,417,696,774",　　재평가이익,"1,329,670,817",　　지분법자본변동,"-84,741,896",,
,　　재평가이익,,,,,,,,,,,,,,,,,"907,418","1,330",-85,"-908,663",,,,,,,,"-61,141,136,634","179,704,354,008","38,355,666,318","255,264","59,775,007","-4,467,551","-157,643,923","922,747","59,519,743","-3,477,384","-153,176,372","58,596,996","58,596,996","-149,698,988","-149,698,988",,,"-1,717,013,353","-1,717,013,353","58,596,996","58,596,996",,"-27,207,354","-1,744,220,707","922,747","59,519,743",,"-4,331,353","-1,748,552,060","255,264","59,775,007",,　　확정급여제도의 재측정요소,"16,709,577,155",,　　확정급여제도의재측정요소,0,　　확정급여제도의 재측정요소,,　　지분법이익잉여금변동,"1,948,737,415",,
,　 확정급여제도의 재측정요소,"38,356",-150,-3,-4,"179,862","179,704",59,1,,"-61,201","-61,141","-1,717",-27,-4,"18,458","16,710",,,"1,949","52,117","54,066",,,,,,　　확정급여제도의 재측정요소,"1,850,554,892","25,841,355,344","5,511,276,286",0,"-634,276,585","166,235,712","-41,977,552","33,350","-634,276,585","-485,008","-208,213,264","-634,309,935","-634,309,935","-207,728,256","-207,728,256",,,"-344,103,424","-344,103,424","-634,309,935","-634,309,935",,"-1,539","-344,104,963","33,350","-634,276,585",,"201,247,196","-142,857,767",0,"-634,276,585",,　　지분법이익잉여금,"-142,857,779",,　　지분법이익잉여금,"1,026,469,988",　　지분법이익잉여금변동,"-24,726,473",　　재평가잉여금,"-4,828,893,155",　　확정급여제도의 재측정요소,"54,065,607,725"
,　 지분법이익잉여금 ?,"5,511",-208,,166,"25,883","25,841",-634,,,"2,485","1,851",-344,,201,,-143,"1,026",-25,"-4,829","6,796","2,969",,,,,,,"1,779,683,284","-10,321,369,849","9,887,451,126","-1,522,972,483","1,736,169,785","-3,601,805,901","-8,554,289,015","2,088,647,977","3,259,142,268","-6,453,235,573","-4,952,483,114","1,170,494,291","1,170,494,291","1,500,752,459","1,500,752,459",,,"-507,918,497","-507,918,497","1,170,494,291","1,170,494,291",,"-241,683,516","-749,602,013","2,088,647,977","3,259,142,268",,0,"-749,602,013","-1,522,972,483","1,736,169,785",,　　기타포괄손익-공정가치측정 금융자산평가이익(손실),"-1,770,664,483",,　　기타포괄손익-공정가치측정 금융자산평가손실,"-2,268,839,458",　　기타포괄손익-공정가치측정 금융자산평가손익,"748,523,586",　　기타포괄손익-공정가치측정 금융자산평가손익,"-1,916,950,647",　　지분법자본변동,"45,607,993,752"
,　 재평가잉여금,,,,,,,,,,,,,,,,,,,,"897,100","897,100",,,,,,　　지분법이익잉여금 ?,"-44,775,727,819","328,268,655,917","224,683,345,959","-21,160,355,467","4,874,899,166","-135,778,684,902","200,566,110,180","-7,957,776,882","26,035,254,633","227,403,733,179","336,344,795,082","33,993,031,515","33,993,031,515","108,941,061,903","108,941,061,903",,,"445,760,145,747","445,760,145,747","33,993,031,515","33,993,031,515",,"-94,097,049,155","351,663,096,592","-7,957,776,882","26,035,254,633",,"9,993,062,945","361,656,159,537","-21,160,355,467","4,874,899,166",,총포괄손익,"289,618,094,948",,분기총포괄손익,"1,060,461,125,746",반기총포괄손익,"809,004,777,283",분기총포괄손익,"388,859,578,692",　　지분법이익잉여금,"2,968,851,897"
,    기타포괄손익-공정가치측정 금융자산평가이익(손실),"9,887","1,501","-6,453","-3,602","-1,767","-10,321","1,170","2,089","-1,523",44,"1,780",-508,-242,,"-1,021","-1,771","-2,269",749,"-1,917",19,"-3,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,당기순손익의 귀속,,,분기순손익의 귀속,,반기순손익의 귀속,,분기순손익의 귀속,,　　재평가잉여금,"897,100,192,343"
,총포괄손익,"224,683","108,941","227,404","-135,779","127,703","328,269","33,993","-7,958","-21,160","-49,651","-44,776","445,760","-94,097","9,993","-72,038","289,618","1,060,461","809,005","388,860","373,739","2,632,065",,,,,,　　기타포괄손익-공정가치측정 금융자산평가이익(손실),"212,662,787,381","33,862,990,909","-45,780,239,737","46,964,029,815","146,093,876,745","-268,008,675,822","-92,070,347,813","90,992,964,972","99,129,846,930","169,357,938,579","175,938,328,009","8,136,881,958","8,136,881,958","6,580,389,430","6,580,389,430",,,"472,184,447,536","472,184,447,536","8,136,881,958","8,136,881,958",,"-32,840,882,109","439,343,565,427","90,992,964,972","99,129,846,930",,"-42,307,653,362","397,035,912,065","46,964,029,815","146,093,876,745",,　지배기업소유주지분,"310,568,028,257",,　지배기업소유주지분,"44,050,087,099",　지배기업소유주지분,"893,270,715,343",　지배기업소유주지분,"326,338,464,169",　　기타포괄손익-공정가치측정 금융자산평가이익(손실),"-3,418,433,446"
