분류,항목,기간,수치
매출액,건자재,3Q23,276522
매출액,도료,3Q23,431161
매출액,기타,3Q23,144649
영업이익,영업이익 (총계),3Q23,88430
영업이익,영업이익률(%),3Q23,5.7
영업이익,QoQ(%),3Q23,(2.2)
영업이익,YoY(%),3Q23,(8.2)
영업이익 - 실리콘,실리콘 영업이익,3Q23,-38301
영업이익 - 실리콘,영업이익률(%),3Q23,(5.5)
영업이익 - 실리콘,QoQ(%),3Q23,적자지속
영업이익 - 실리콘,YoY(%),3Q23,적자전환
영업이익 - 건자재,건자재 영업이익,3Q23,58624
영업이익 - 건자재,영업이익률(%),3Q23,21.2
영업이익 - 건자재,QoQ(%),3Q23,23.3
영업이익 - 건자재,YoY(%),3Q23,95.6
영업이익 - 도료,도료 영업이익,3Q23,60450
영업이익 - 도료,영업이익률(%),3Q23,14.0
영업이익 - 도료,QoQ(%),3Q23,26.8
영업이익 - 도료,YoY(%),3Q23,180.3
영업이익 - 기타,기타 영업이익,3Q23,3026
영업이익 - 기타,영업이익률(%),3Q23,2.1
영업이익 - 기타,QoQ(%),3Q23,(62.9)
영업이익 - 기타,YoY(%),3Q23,(7.3)
당기순이익,당기순이익 (총계),3Q23,11238
당기순이익,당기순익률(%),3Q23,0.7
당기순이익,QoQ(%),3Q23,(83.3)
당기순이익,YoY(%),3Q23,흑자전환
당기순이익,지배순이익,3Q23,46964
매출액,매출액 (총계),4Q23,1582430
매출액,QoQ(%),4Q23,(0.4)
매출액,YoY(%),4Q23,(9.1)
매출액,실리콘,4Q23,683736
매출액,건자재,4Q23,295139
매출액,도료,4Q23,453556
매출액,기타,4Q23,150000
영업이익,영업이익 (총계),4Q23,57889
영업이익,영업이익률(%),4Q23,3.7
영업이익,QoQ(%),4Q23,(36.0)
영업이익,YoY(%),4Q23,(39.9)
영업이익 - 실리콘,실리콘 영업이익,4Q23,-42139
영업이익 - 실리콘,영업이익률(%),4Q23,(6.2)
영업이익 - 실리콘,QoQ(%),4Q23,적자지속
영업이익 - 실리콘,YoY(%),4Q23,적자전환
영업이익 - 건자재,건자재 영업이익,4Q23,52063
영업이익 - 건자재,영업이익률(%),4Q23,17.6
영업이익 - 건자재,QoQ(%),4Q23,9.5
영업이익 - 건자재,YoY(%),4Q23,73.7
영업이익 - 도료,도료 영업이익,4Q23,46796
영업이익 - 도료,영업이익률(%),4Q23,10.3
영업이익 - 도료,QoQ(%),4Q23,(1.8)
영업이익 - 도료,YoY(%),4Q23,117.0
영업이익 - 기타,기타 영업이익,4Q23,-5452
영업이익 - 기타,영업이익률(%),4Q23,(3.6)
영업이익 - 기타,QoQ(%),4Q23,적자전환
영업이익 - 기타,YoY(%),4Q23,적자지속
당기순이익,당기순이익 (총계),4Q23,-15669
당기순이익,당기순익률(%),4Q23,(1.0)
당기순이익,QoQ(%),4Q23,적자전환
당기순이익,YoY(%),4Q23,적자지속
당기순이익,지배순이익,4Q23,66569
매출액,매출액 (총계),1Q24,1588372
매출액,QoQ(%),1Q24,0.4
매출액,YoY(%),1Q24,1.5
매출액,실리콘,1Q24,738521
매출액,건자재,1Q24,264531
매출액,도료,1Q24,419051
매출액,기타,1Q24,166269
영업이익,영업이익 (총계),1Q24,106907
영업이익,영업이익률(%),1Q24,6.7
영업이익,QoQ(%),1Q24,84.7
영업이익,YoY(%),1Q24,41.0
영업이익 - 실리콘,실리콘 영업이익,1Q24,2741
영업이익 - 실리콘,영업이익률(%),1Q24,0.4
영업이익 - 실리콘,QoQ(%),1Q24,흑자전환
영업이익 - 실리콘,YoY(%),1Q24,(79.3)
영업이익 - 건자재,건자재 영업이익,1Q24,44442
영업이익 - 건자재,영업이익률(%),1Q24,16.8
영업이익 - 건자재,QoQ(%),1Q24,(14.6)
영업이익 - 건자재,YoY(%),1Q24,26.9
영업이익 - 도료,도료 영업이익,1Q24,54620
영업이익 - 도료,영업이익률(%),1Q24,13.0
영업이익 - 도료,QoQ(%),1Q24,16.7
영업이익 - 도료,YoY(%),1Q24,160.6
영업이익 - 기타,기타 영업이익,1Q24,-987
영업이익 - 기타,영업이익률(%),1Q24,(0.6)
영업이익 - 기타,QoQ(%),1Q24,적자지속
영업이익 - 기타,YoY(%),1Q24,적자지속
당기순이익,당기순이익 (총계),1Q24,458237
당기순이익,당기순익률(%),1Q24,28.8
당기순이익,QoQ(%),1Q24,(3024.4)
당기순이익,YoY(%),1Q24,흑자전환
당기순이익,지배순이익,1Q24,475511
매출액,매출액 (총계),2Q24,1778728
매출액,QoQ(%),2Q24,12.0
매출액,YoY(%),2Q24,12.0
매출액,실리콘,2Q24,785149
매출액,건자재,2Q24,293086
매출액,도료,2Q24,521822
매출액,기타,2Q24,178670
영업이익,영업이익 (총계),2Q24,140561
영업이익,영업이익률(%),2Q24,7.9
영업이익,QoQ(%),2Q24,31.5
영업이익,YoY(%),2Q24,55.5
영업이익 - 실리콘,실리콘 영업이익,2Q24,18405
영업이익 - 실리콘,영업이익률(%),2Q24,2.3
영업이익 - 실리콘,QoQ(%),2Q24,571.4
영업이익 - 실리콘,YoY(%),2Q24,흑자전환
영업이익 - 건자재,건자재 영업이익,2Q24,53509
영업이익 - 건자재,영업이익률(%),2Q24,18.3
영업이익 - 건자재,QoQ(%),2Q24,20.4
영업이익 - 건자재,YoY(%),2Q24,12.5
영업이익 - 도료,도료 영업이익,2Q24,66083
영업이익 - 도료,영업이익률(%),2Q24,12.7
영업이익 - 도료,QoQ(%),2Q24,21.0
영업이익 - 도료,YoY(%),2Q24,38.6
영업이익 - 기타,기타 영업이익,2Q24,-1509
영업이익 - 기타,영업이익률(%),2Q24,(0.8)
영업이익 - 기타,QoQ(%),2Q24,적자지속
영업이익 - 기타,YoY(%),2Q24,적자전환
당기순이익,당기순이익 (총계),2Q24,-29518
당기순이익,당기순익률(%),2Q24,(1.7)
당기순이익,QoQ(%),2Q24,적자전환
당기순이익,YoY(%),2Q24,적자전환
당기순이익,지배순이익,2Q24,-29518
매출액,매출액 (총계),3Q24,1634208
매출액,QoQ(%),3Q24,(8.1)
매출액,YoY(%),3Q24,5.2
매출액,실리콘,3Q24,725942
매출액,건자재,3Q24,262427
매출액,도료,3Q24,495775
매출액,기타,3Q24,150063
영업이익,영업이익 (총계),3Q24,125329
영업이익,영업이익률(%),3Q24,7.7
영업이익,QoQ(%),3Q24,(10.8)
영업이익,YoY(%),3Q24,41.7
영업이익 - 실리콘,실리콘 영업이익,3Q24,25901
영업이익 - 실리콘,영업이익률(%),3Q24,3.6
영업이익 - 실리콘,QoQ(%),3Q24,40.7
영업이익 - 실리콘,YoY(%),3Q24,흑자전환
영업이익 - 건자재,건자재 영업이익,3Q24,40809
영업이익 - 건자재,영업이익률(%),3Q24,15.6
영업이익 - 건자재,QoQ(%),3Q24,(23.7)
영업이익 - 건자재,YoY(%),3Q24,(30.4)
영업이익 - 도료,도료 영업이익,3Q24,57041
영업이익 - 도료,영업이익률(%),3Q24,11.5
영업이익 - 도료,QoQ(%),3Q24,(13.7)
영업이익 - 도료,YoY(%),3Q24,(5.6)
영업이익 - 기타,기타 영업이익,3Q24,-3274
