데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,기타이익,9613,백만원,2024Q1|연결손익계산서|기타이익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 기타이익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,기타포괄손익,-9151,백만원,2024Q1|연결손익계산서|기타포괄손익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 기타포괄손익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),-508,백만원,2024Q1|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,당기순손익,454911,백만원,2024Q1|연결손익계산서|당기순손익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 당기순손익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,매출액,1588372,백만원,2024Q1|연결손익계산서|매출액|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 매출액 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,매출원가,1228576,백만원,2024Q1|연결손익계산서|매출원가|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 매출원가 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,매출총이익,359795,백만원,2024Q1|연결손익계산서|매출총이익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 매출총이익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,법인세비용(수익),172151,백만원,2024Q1|연결손익계산서|법인세비용(수익)|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 법인세비용(수익) | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,법인세비용차감전순손익,627062,백만원,2024Q1|연결손익계산서|법인세비용차감전순손익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 법인세비용차감전순손익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,비지배지분,-17274,백만원,2024Q1|연결손익계산서|비지배지분|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 비지배지분 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,비지배지분,-33825,백만원,2024Q1|연결손익계산서|비지배지분|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 비지배지분 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,순금융손익,523046,백만원,2024Q1|연결손익계산서|순금융손익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 순금융손익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,영업이익,106907,백만원,2024Q1|연결손익계산서|영업이익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 영업이익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,지배기업소유주지분,472184,백만원,2024Q1|연결손익계산서|지배기업소유주지분|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 지배기업소유주지분 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,지배기업소유주지분,479585,백만원,2024Q1|연결손익계산서|지배기업소유주지분|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 지배기업소유주지분 | 백만원
