분류,세부항목,기간,연도,분기,기간표준,수치,단위,search_tag
판매관리비,대손상각비(대손충당금환입),2022-12-31,2022,Q4,2022 Q4,-138,백만원,2022Q4|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2022-12-31,2022,Q4,2022 Q4,25041,백만원,2022Q4|판매관리비|운반비
판매관리비,지급수수료,2022-12-31,2022,Q4,2022 Q4,7665,백만원,2022Q4|판매관리비|지급수수료
판매관리비,기술개발비,2022-12-31,2022,Q4,2022 Q4,21777,백만원,2022Q4|판매관리비|기술개발비
판매관리비,기타,2022-12-31,2022,Q4,2022 Q4,10207,백만원,2022Q4|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-03-31,2023,Q1,2023 Q1,237572,백만원,2023Q1|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-03-31,2023,Q1,2023 Q1,76098,백만원,2023Q1|판매관리비|급여
판매관리비,퇴직급여원가,2023-03-31,2023,Q1,2023 Q1,6795,백만원,2023Q1|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-03-31,2023,Q1,2023 Q1,8409,백만원,2023Q1|판매관리비|복리후생비
판매관리비,광고선전비,2023-03-31,2023,Q1,2023 Q1,4651,백만원,2023Q1|판매관리비|광고선전비
판매관리비,감가상각비,2023-03-31,2023,Q1,2023 Q1,4016,백만원,2023Q1|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-03-31,2023,Q1,2023 Q1,10422,백만원,2023Q1|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2023-03-31,2023,Q1,2023 Q1,5622,백만원,2023Q1|판매관리비|사용권자산상각비
판매관리비,운반비,2023-03-31,2023,Q1,2023 Q1,24512,백만원,2023Q1|판매관리비|운반비
판매관리비,지급수수료,2023-03-31,2023,Q1,2023 Q1,23186,백만원,2023Q1|판매관리비|지급수수료
판매관리비,기술개발비,2023-03-31,2023,Q1,2023 Q1,44702,백만원,2023Q1|판매관리비|기술개발비
판매관리비,기타,2023-03-31,2023,Q1,2023 Q1,29159,백만원,2023Q1|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-03-31,2023,Q1,2023 Q1,94556,백만원,2023Q1|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-03-31,2023,Q1,2023 Q1,23886,백만원,2023Q1|판매관리비|급여
판매관리비,퇴직급여원가,2023-03-31,2023,Q1,2023 Q1,2735,백만원,2023Q1|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-03-31,2023,Q1,2023 Q1,4512,백만원,2023Q1|판매관리비|복리후생비
판매관리비,광고선전비,2023-03-31,2023,Q1,2023 Q1,4001,백만원,2023Q1|판매관리비|광고선전비
판매관리비,감가상각비,2023-03-31,2023,Q1,2023 Q1,833,백만원,2023Q1|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-03-31,2023,Q1,2023 Q1,235,백만원,2023Q1|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2023-03-31,2023,Q1,2023 Q1,549,백만원,2023Q1|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2023-03-31,2023,Q1,2023 Q1,22925,백만원,2023Q1|판매관리비|운반비
판매관리비,지급수수료,2023-03-31,2023,Q1,2023 Q1,6196,백만원,2023Q1|판매관리비|지급수수료
판매관리비,기술개발비,2023-03-31,2023,Q1,2023 Q1,19267,백만원,2023Q1|판매관리비|기술개발비
판매관리비,기타,2023-03-31,2023,Q1,2023 Q1,9415,백만원,2023Q1|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-06-30,2023,Q2,2023 Q2,256089,백만원,2023Q2|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-06-30,2023,Q2,2023 Q2,65555,백만원,2023Q2|판매관리비|급여
판매관리비,퇴직급여원가,2023-06-30,2023,Q2,2023 Q2,6259,백만원,2023Q2|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-06-30,2023,Q2,2023 Q2,8664,백만원,2023Q2|판매관리비|복리후생비
판매관리비,광고선전비,2023-06-30,2023,Q2,2023 Q2,9208,백만원,2023Q2|판매관리비|광고선전비
판매관리비,감가상각비,2023-06-30,2023,Q2,2023 Q2,5447,백만원,2023Q2|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-06-30,2023,Q2,2023 Q2,10120,백만원,2023Q2|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2023-06-30,2023,Q2,2023 Q2,5702,백만원,2023Q2|판매관리비|사용권자산상각비
판매관리비,운반비,2023-06-30,2023,Q2,2023 Q2,27878,백만원,2023Q2|판매관리비|운반비
판매관리비,지급수수료,2023-06-30,2023,Q2,2023 Q2,21667,백만원,2023Q2|판매관리비|지급수수료
판매관리비,기술개발비,2023-06-30,2023,Q2,2023 Q2,50274,백만원,2023Q2|판매관리비|기술개발비
판매관리비,기타,2023-06-30,2023,Q2,2023 Q2,45315,백만원,2023Q2|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-06-30,2023,Q2,2023 Q2,107362,백만원,2023Q2|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-06-30,2023,Q2,2023 Q2,24576,백만원,2023Q2|판매관리비|급여
판매관리비,퇴직급여원가,2023-06-30,2023,Q2,2023 Q2,1901,백만원,2023Q2|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-06-30,2023,Q2,2023 Q2,4427,백만원,2023Q2|판매관리비|복리후생비
판매관리비,광고선전비,2023-06-30,2023,Q2,2023 Q2,8076,백만원,2023Q2|판매관리비|광고선전비
판매관리비,감가상각비,2023-06-30,2023,Q2,2023 Q2,2900,백만원,2023Q2|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-06-30,2023,Q2,2023 Q2,242,백만원,2023Q2|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2023-06-30,2023,Q2,2023 Q2,497,백만원,2023Q2|판매관리비|대손상각비(대손충당금환입)
