데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text,variant
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,차입금의존도,20.9,%,2018Q4|주요재무지표|전사|차입금의존도|%|expanded,2018년 4분기 전사 기준 차입금의존도 | 2018 Q4 전사 차입금의존도 | 2018-12-31 기준 차입금의존도 | 전사 차입금의존도 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | borrowings dependence | borrowings | % | 비율 | ratio | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 차입금의존도 | 2018년 Q4 차입금의존도 얼마야? | 차입금의존도 수치 확인,expanded
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,총자산이익률,-0.3,%,2018Q4|주요재무지표|전사|총자산이익률|%|expanded,2018년 4분기 전사 기준 총자산이익률 | 2018 Q4 전사 총자산이익률 | 2018-12-31 기준 총자산이익률 | 전사 총자산이익률 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | profit | % | 비율 | ratio | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 총자산이익률 | 2018년 Q4 총자산이익률 얼마야? | 총자산이익률 수치 확인,expanded
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,총자산증가율,-6.1,%,2018Q4|주요재무지표|전사|총자산증가율|%|expanded,2018년 4분기 전사 기준 총자산증가율 | 2018 Q4 전사 총자산증가율 | 2018-12-31 기준 총자산증가율 | 전사 총자산증가율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | % | 비율 | ratio | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 총자산증가율 | 2018년 Q4 총자산증가율 얼마야? | 총자산증가율 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,당기순이익,-221877.0,백만원,2019Q4|주요재무지표|전사|당기순이익|백만원|expanded,2019년 4분기 전사 기준 당기순이익 | 2019 Q4 전사 당기순이익 | 2019-12-31 기준 당기순이익 | 전사 당기순이익 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 순이익 | net income | net profit | profit | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 당기순이익 | 약 -2218.8억원 | 2019년 Q4 당기순이익 얼마야? | 당기순이익 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,당기순이익증가율,-860.4,%,2019Q4|주요재무지표|전사|당기순이익증가율|%|expanded,2019년 4분기 전사 기준 당기순이익증가율 | 2019 Q4 전사 당기순이익증가율 | 2019-12-31 기준 당기순이익증가율 | 전사 당기순이익증가율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 순이익 | net income | net profit | profit | % | 비율 | ratio | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 당기순이익증가율 | 2019년 Q4 당기순이익증가율 얼마야? | 당기순이익증가율 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,부채비율,110.7,%,2019Q4|주요재무지표|전사|부채비율|%|expanded,2019년 4분기 전사 기준 부채비율 | 2019 Q4 전사 부채비율 | 2019-12-31 기준 부채비율 | 전사 부채비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | debt ratio | 부채/자본 | ratio | % | 비율 | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 부채비율 | 2019년 Q4 부채비율 얼마야? | 부채비율 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,부채총계,4928995.0,백만원,2019Q4|주요재무지표|전사|부채총계|백만원|expanded,2019년 4분기 전사 기준 부채총계 | 2019 Q4 전사 부채총계 | 2019-12-31 기준 부채총계 | 전사 부채총계 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 총부채 | liabilities | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 부채총계 | 약 49289.9억원 | 2019년 Q4 부채총계 얼마야? | 부채총계 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,유동부채,2916785.0,백만원,2019Q4|주요재무지표|전사|유동부채|백만원|expanded,2019년 4분기 전사 기준 유동부채 | 2019 Q4 전사 유동부채 | 2019-12-31 기준 유동부채 | 전사 유동부채 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 유동부채 | 약 29167.8억원 | 2019년 Q4 유동부채 얼마야? | 유동부채 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,유동비율,70.6,%,2019Q4|주요재무지표|전사|유동비율|%|expanded,2019년 4분기 전사 기준 유동비율 | 2019 Q4 전사 유동비율 | 2019-12-31 기준 유동비율 | 전사 유동비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | current ratio | ratio | % | 비율 | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 유동비율 | 2019년 Q4 유동비율 얼마야? | 유동비율 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,유동자산,2059589.0,백만원,2019Q4|주요재무지표|전사|유동자산|백만원|expanded,2019년 4분기 전사 기준 유동자산 | 2019 Q4 전사 유동자산 | 2019-12-31 기준 유동자산 | 전사 유동자산 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 유동자산 | 약 20595.9억원 | 2019년 Q4 유동자산 얼마야? | 유동자산 수치 확인,expanded
