재무제표,계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
연결손익계산서,영업이익,4Q22,2022,Q4,2022 Q4,57641,백만원,2022Q4|연결손익계산서|영업이익
연결손익계산서,지분법손익,4Q22,2022,Q4,2022 Q4,3633,백만원,2022Q4|연결손익계산서|지분법손익
연결손익계산서,순금융손익,4Q22,2022,Q4,2022 Q4,50418,백만원,2022Q4|연결손익계산서|순금융손익
연결손익계산서,금융수익,4Q22,2022,Q4,2022 Q4,215267,백만원,2022Q4|연결손익계산서|금융수익
연결손익계산서,금융원가,4Q22,2022,Q4,2022 Q4,164849,백만원,2022Q4|연결손익계산서|금융원가
연결손익계산서,기타영업외손익,4Q22,2022,Q4,2022 Q4,-61145,백만원,2022Q4|연결손익계산서|기타영업외손익
연결손익계산서,기타이익,4Q22,2022,Q4,2022 Q4,14604,백만원,2022Q4|연결손익계산서|기타이익
연결손익계산서,기타손실,4Q22,2022,Q4,2022 Q4,-75749,백만원,2022Q4|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,4Q22,2022,Q4,2022 Q4,50546,백만원,2022Q4|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),4Q22,2022,Q4,2022 Q4,-29060,백만원,2022Q4|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,4Q22,2022,Q4,2022 Q4,79606,백만원,2022Q4|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,4Q22,2022,Q4,2022 Q4,48096,백만원,2022Q4|연결손익계산서|기타포괄손익
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q22,2022,Q4,2022 Q4,-155882,백만원,2022Q4|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목
연결손익계산서,지분법자본변동?,4Q22,2022,Q4,2022 Q4,-31980,백만원,2022Q4|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,4Q22,2022,Q4,2022 Q4,-2173,백만원,2022Q4|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,4Q22,2022,Q4,2022 Q4,-121730,백만원,2022Q4|연결손익계산서|해외사업환산손익 등
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q22,2022,Q4,2022 Q4,197521,백만원,2022Q4|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목
연결손익계산서,확정급여제도의 재측정요소,4Q22,2022,Q4,2022 Q4,179862,백만원,2022Q4|연결손익계산서|확정급여제도의 재측정요소
연결손익계산서,지분법이익잉여금 ?,4Q22,2022,Q4,2022 Q4,25883,백만원,2022Q4|연결손익계산서|지분법이익잉여금 ?
