재무제표,계정과목,기간,금액
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q23,2089
연결손익계산서,총포괄손익,2Q23,-7958
연결손익계산서,지배기업소유주지분,2Q23,90993
연결손익계산서,비지배지분,2Q23,-23669
연결손익계산서,지배기업소유주지분,2Q23,37431
연결손익계산서,비지배지분,2Q23,-45389
연결손익계산서,기본주당손익 (단위 : 원),2Q23,12373
연결손익계산서,희석주당손익 (단위 : 원),2Q23,12373
연결손익계산서,매출액,3Q23,1552725
연결손익계산서,매출원가,3Q23,1223040
연결손익계산서,매출총이익,3Q23,329684
연결손익계산서,판매비와관리비,3Q23,241255
연결손익계산서,영업이익,3Q23,88430
연결손익계산서,지분법손익,3Q23,-14494
연결손익계산서,순금융손익,3Q23,-9376
연결손익계산서,금융수익,3Q23,107962
연결손익계산서,금융원가,3Q23,-117337
연결손익계산서,기타영업외손익,3Q23,408
연결손익계산서,기타이익,3Q23,10562
연결손익계산서,기타손실,3Q23,-10154
연결손익계산서,법인세비용차감전순손익,3Q23,64968
연결손익계산서,법인세비용(수익),3Q23,53730
연결손익계산서,당기순손익,3Q23,11238
연결손익계산서,기타포괄손익,3Q23,-32398
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q23,-30876
연결손익계산서,지분법자본변동?,3Q23,1788
연결손익계산서,현금흐름위험회피,3Q23,-23361
연결손익계산서,해외사업환산손익 등,3Q23,-9303
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q23,-1523
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q23,-1523
연결손익계산서,총포괄손익,3Q23,-21160
연결손익계산서,지배기업소유주지분,3Q23,46964
연결손익계산서,비지배지분,3Q23,-35726
연결손익계산서,지배기업소유주지분,3Q23,30054
연결손익계산서,비지배지분,3Q23,-51215
연결손익계산서,기본주당손익 (단위 : 원),3Q23,6386
연결손익계산서,희석주당손익 (단위 : 원),3Q23,6386
연결손익계산서,매출액,4Q23,1582430
연결손익계산서,매출원가,4Q23,1243487
연결손익계산서,매출총이익,4Q23,338943
연결손익계산서,판매비와관리비,4Q23,281054
연결손익계산서,영업이익,4Q23,57889
연결손익계산서,지분법손익,4Q23,-166504
연결손익계산서,순금융손익,4Q23,171390
연결손익계산서,금융수익,4Q23,355359
연결손익계산서,금융원가,4Q23,183969
연결손익계산서,기타영업외손익,4Q23,-29757
연결손익계산서,기타이익,4Q23,7376
연결손익계산서,기타손실,4Q23,-37132
연결손익계산서,법인세비용차감전순손익,4Q23,33019
연결손익계산서,법인세비용(수익),4Q23,3626
연결손익계산서,당기순손익,4Q23,29393
연결손익계산서,기타포괄손익,4Q23,-79043
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q23,-97742
연결손익계산서,지분법자본변동?,4Q23,4416
연결손익계산서,현금흐름위험회피,4Q23,-25493
연결손익계산서,해외사업환산손익 등,4Q23,706
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q23,-56583
연결손익계산서,확정급여제도의 재측정요소,4Q23,-61201
연결손익계산서,지분법이익잉여금 ?,4Q23,2485
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q23,44
연결손익계산서,총포괄손익,4Q23,-49651
연결손익계산서,지배기업소유주지분,4Q23,66569
연결손익계산서,비지배지분,4Q23,-37176
연결손익계산서,지배기업소유주지분,4Q23,-2175
연결손익계산서,비지배지분,4Q23,-47476
연결손익계산서,기본주당손익 (단위 : 원),4Q23,9052
연결손익계산서,희석주당손익 (단위 : 원),4Q23,9052
연결손익계산서,매출액,1Q24,1588372
연결손익계산서,매출원가,1Q24,1228576
연결손익계산서,매출총이익,1Q24,359795
연결손익계산서,판매비와관리비,1Q24,252888
연결손익계산서,영업이익,1Q24,106907
연결손익계산서,지분법손익,1Q24,-2633
연결손익계산서,순금융손익,1Q24,523046
연결손익계산서,금융수익,1Q24,656804
연결손익계산서,금융원가,1Q24,-133758
연결손익계산서,기타영업외손익,1Q24,-258
연결손익계산서,기타이익,1Q24,9613
연결손익계산서,기타손실,1Q24,-9871
연결손익계산서,법인세비용차감전순손익,1Q24,627062
연결손익계산서,법인세비용(수익),1Q24,172151
연결손익계산서,당기순손익,1Q24,454911
연결손익계산서,기타포괄손익,1Q24,-9151
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q24,-6582
연결손익계산서,지분법자본변동?,1Q24,-3915
연결손익계산서,현금흐름위험회피,1Q24,-23136
연결손익계산서,해외사업환산손익 등,1Q24,20469
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q24,-2569
연결손익계산서,확정급여제도의 재측정요소,1Q24,-1717
연결손익계산서,지분법이익잉여금 ?,1Q24,-344
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q24,-508
연결손익계산서,총포괄손익,1Q24,445760
연결손익계산서,지배기업소유주지분,1Q24,472184
연결손익계산서,비지배지분,1Q24,-17274
연결손익계산서,지배기업소유주지분,1Q24,479585
연결손익계산서,비지배지분,1Q24,-33825
연결손익계산서,기본주당손익 (단위 : 원),1Q24,64206
연결손익계산서,희석주당손익 (단위 : 원),1Q24,64206
연결손익계산서,매출액,2Q24,1778728
연결손익계산서,매출원가,2Q24,1348199
연결손익계산서,매출총이익,2Q24,430528
연결손익계산서,판매비와관리비,2Q24,289968
연결손익계산서,영업이익,2Q24,140561
연결손익계산서,지분법손익,2Q24,65671
연결손익계산서,순금융손익,2Q24,-197808
연결손익계산서,금융수익,2Q24,108581
연결손익계산서,금융원가,2Q24,-306389
연결손익계산서,기타영업외손익,2Q24,-1097
연결손익계산서,기타이익,2Q24,11687
연결손익계산서,기타손실,2Q24,-12785
연결손익계산서,법인세비용차감전순손익,2Q24,7327
연결손익계산서,법인세비용(수익),2Q24,40168
연결손익계산서,당기순손익,2Q24,-32841
연결손익계산서,기타포괄손익,2Q24,-61256
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q24,-60987
연결손익계산서,지분법자본변동?,2Q24,-49110
연결손익계산서,해외사업환산손익 등,2Q24,-11877
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,2Q24,-269
연결손익계산서,확정급여제도의 재측정요소,2Q24,-27
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q24,-242
연결손익계산서,총포괄손익,2Q24,-94097
연결손익계산서,지배기업소유주지분,2Q24,-32841
연결손익계산서,지배기업소유주지분,2Q24,-94097
연결손익계산서,기본주당손익 (단위 : 원),2Q24,-4466
연결손익계산서,희석주당손익 (단위 : 원),2Q24,-4466
연결손익계산서,매출액,3Q24,1634208
연결손익계산서,매출원가,3Q24,1195392
연결손익계산서,매출총이익,3Q24,438816
연결손익계산서,판매비와관리비,3Q24,313487
연결손익계산서,영업이익,3Q24,125329
연결손익계산서,지분법손익,3Q24,7178
연결손익계산서,순금융손익,3Q24,-139074
연결손익계산서,금융수익,3Q24,-25469
연결손익계산서,금융원가,3Q24,-113605
연결손익계산서,기타영업외손익,3Q24,-533
연결손익계산서,기타이익,3Q24,9203
연결손익계산서,기타손실,3Q24,-9736
