분류	항목	기간	수치	단위
영업이익 - 기타	기타 영업이익	4Q23	-5	백만원
영업이익 - 기타	영업이익률(%)	4Q23	-0.004	백만원
영업이익 - 기타	QoQ(%)	4Q23	 적자전환 	백만원
영업이익 - 기타	YoY(%)	4Q23	 적자지속 	백만원
당기순이익	당기순이익 (총계)	4Q23	-16	백만원
당기순이익	당기순익률(%)	4Q23	-0.001	백만원
당기순이익	QoQ(%)	4Q23	 적자전환 	백만원
당기순이익	YoY(%)	4Q23	 적자지속 	백만원
당기순이익	지배순이익	4Q23	67	백만원
매출액	매출액 (총계)	1Q24	"1,588"	백만원
매출액	QoQ(%)	1Q24	0	백만원
매출액	YoY(%)	1Q24	0.002	백만원
매출액	실리콘	1Q24	739	백만원
매출액	건자재	1Q24	265	백만원
매출액	도료	1Q24	419	백만원
매출액	기타	1Q24	166	백만원
영업이익	영업이익 (총계)	1Q24	107	백만원
영업이익	영업이익률(%)	1Q24	0.007	백만원
영업이익	QoQ(%)	1Q24	0.085	백만원
영업이익	YoY(%)	1Q24	0.041	백만원
영업이익 - 실리콘	실리콘 영업이익	1Q24	3	백만원
영업이익 - 실리콘	영업이익률(%)	1Q24	0	백만원
영업이익 - 실리콘	QoQ(%)	1Q24	 흑자전환 	백만원
영업이익 - 실리콘	YoY(%)	1Q24	-0.079	백만원
영업이익 - 건자재	건자재 영업이익	1Q24	44	백만원
영업이익 - 건자재	영업이익률(%)	1Q24	0.017	백만원
영업이익 - 건자재	QoQ(%)	1Q24	-0.015	백만원
영업이익 - 건자재	YoY(%)	1Q24	0.027	백만원
영업이익 - 도료	도료 영업이익	1Q24	55	백만원
영업이익 - 도료	영업이익률(%)	1Q24	0.013	백만원
영업이익 - 도료	QoQ(%)	1Q24	0.017	백만원
영업이익 - 도료	YoY(%)	1Q24	0.161	백만원
영업이익 - 기타	기타 영업이익	1Q24	-0.987	백만원
영업이익 - 기타	영업이익률(%)	1Q24	-0.001	백만원
영업이익 - 기타	QoQ(%)	1Q24	 적자지속 	백만원
영업이익 - 기타	YoY(%)	1Q24	 적자지속 	백만원
당기순이익	당기순이익 (총계)	1Q24	458	백만원
당기순이익	당기순익률(%)	1Q24	0.029	백만원
당기순이익	QoQ(%)	1Q24	-3	백만원
당기순이익	YoY(%)	1Q24	 흑자전환 	백만원
당기순이익	지배순이익	1Q24	476	백만원
매출액	매출액 (총계)	2Q24	"1,779"	백만원
매출액	QoQ(%)	2Q24	0.012	백만원
매출액	YoY(%)	2Q24	0.012	백만원
매출액	실리콘	2Q24	785	백만원
매출액	건자재	2Q24	293	백만원
매출액	도료	2Q24	522	백만원
매출액	기타	2Q24	179	백만원
영업이익	영업이익 (총계)	2Q24	141	백만원
영업이익	영업이익률(%)	2Q24	0.008	백만원
영업이익	QoQ(%)	2Q24	0.032	백만원
영업이익	YoY(%)	2Q24	0.056	백만원
영업이익 - 실리콘	실리콘 영업이익	2Q24	18	백만원
영업이익 - 실리콘	영업이익률(%)	2Q24	0.002	백만원
영업이익 - 실리콘	QoQ(%)	2Q24	0.571	백만원
영업이익 - 실리콘	YoY(%)	2Q24	 흑자전환 	백만원
영업이익 - 건자재	건자재 영업이익	2Q24	54	백만원
영업이익 - 건자재	영업이익률(%)	2Q24	0.018	백만원
영업이익 - 건자재	QoQ(%)	2Q24	0.02	백만원
영업이익 - 건자재	YoY(%)	2Q24	0.013	백만원
영업이익 - 도료	도료 영업이익	2Q24	66	백만원
영업이익 - 도료	영업이익률(%)	2Q24	0.013	백만원
영업이익 - 도료	QoQ(%)	2Q24	0.021	백만원
영업이익 - 도료	YoY(%)	2Q24	0.039	백만원
영업이익 - 기타	기타 영업이익	2Q24	-2	백만원
영업이익 - 기타	영업이익률(%)	2Q24	-0.001	백만원
영업이익 - 기타	QoQ(%)	2Q24	 적자지속 	백만원
영업이익 - 기타	YoY(%)	2Q24	 적자전환 	백만원
당기순이익	당기순이익 (총계)	2Q24	-30	백만원
당기순이익	당기순익률(%)	2Q24	-0.002	백만원
당기순이익	QoQ(%)	2Q24	 적자전환 	백만원
당기순이익	YoY(%)	2Q24	 적자전환 	백만원
당기순이익	지배순이익	2Q24	-30	백만원
매출액	매출액 (총계)	3Q24	"1,634"	백만원
매출액	QoQ(%)	3Q24	-0.008	백만원
매출액	YoY(%)	3Q24	0.005	백만원
매출액	실리콘	3Q24	726	백만원
매출액	건자재	3Q24	262	백만원
매출액	도료	3Q24	496	백만원
매출액	기타	3Q24	150	백만원
영업이익	영업이익 (총계)	3Q24	125	백만원
영업이익	영업이익률(%)	3Q24	0.008	백만원
영업이익	QoQ(%)	3Q24	-0.011	백만원
영업이익	YoY(%)	3Q24	0.042	백만원
영업이익 - 실리콘	실리콘 영업이익	3Q24	26	백만원
영업이익 - 실리콘	영업이익률(%)	3Q24	0.004	백만원
영업이익 - 실리콘	QoQ(%)	3Q24	0.041	백만원
영업이익 - 실리콘	YoY(%)	3Q24	 흑자전환 	백만원
영업이익 - 건자재	건자재 영업이익	3Q24	41	백만원
영업이익 - 건자재	영업이익률(%)	3Q24	0.016	백만원
영업이익 - 건자재	QoQ(%)	3Q24	-0.024	백만원
영업이익 - 건자재	YoY(%)	3Q24	-0.03	백만원
영업이익 - 도료	도료 영업이익	3Q24	57	백만원
영업이익 - 도료	영업이익률(%)	3Q24	0.012	백만원
영업이익 - 도료	QoQ(%)	3Q24	-0.014	백만원
영업이익 - 도료	YoY(%)	3Q24	-0.006	백만원
영업이익 - 기타	기타 영업이익	3Q24	-3	백만원
영업이익 - 기타	영업이익률(%)	3Q24	-0.002	백만원
영업이익 - 기타	QoQ(%)	3Q24	 적자지속 	백만원
영업이익 - 기타	YoY(%)	3Q24	 적자전환 	백만원
당기순이익	당기순이익 (총계)	3Q24	-51	백만원
당기순이익	당기순익률(%)	3Q24	-0.003	백만원
당기순이익	QoQ(%)	3Q24	 적자지속 	백만원
당기순이익	YoY(%)	3Q24	 적자전환 	백만원
당기순이익	지배순이익	3Q24	-51	백만원
매출액	매출액 (총계)	4Q24	"1,657"	백만원
매출액	QoQ(%)	4Q24	0.001	백만원
매출액	YoY(%)	4Q24	0.005	백만원
매출액	실리콘	4Q24	746	백만원
매출액	건자재	4Q24	277	백만원
매출액	도료	4Q24	499	백만원
매출액	기타	4Q24	136	백만원
영업이익	영업이익 (총계)	4Q24	98	백만원
영업이익	영업이익률(%)	4Q24	0.006	백만원
영업이익	QoQ(%)	4Q24	-0.022	백만원
영업이익	YoY(%)	4Q24	0.07	백만원
영업이익 - 실리콘	실리콘 영업이익	4Q24	26	백만원
영업이익 - 실리콘	영업이익률(%)	4Q24	0.004	백만원
영업이익 - 실리콘	QoQ(%)	4Q24	 - 	백만원
영업이익 - 실리콘	YoY(%)	4Q24	 흑자전환 	백만원
영업이익 - 건자재	건자재 영업이익	4Q24	35	백만원
영업이익 - 건자재	영업이익률(%)	4Q24	0.013	백만원
영업이익 - 건자재	QoQ(%)	4Q24	-0.014	백만원
