분류,항목,기간,수치,단위
현금흐름표(연결),지분법이익,2024-12-31,73557895466,원
현금흐름표(연결),감가상각비,2024-12-31,3.64888E+11,원
현금흐름표(연결),운휴자산상각비,2024-12-31,522164021,원
현금흐름표(연결),무형자산상각비,2024-12-31,48314823390,원
현금흐름표(연결),사용권자산상각비,2024-12-31,28535175165,원
현금흐름표(연결),대손상각비,2024-12-31,-617507963,원
현금흐름표(연결),퇴직급여,2024-12-31,76480020579,원
현금흐름표(연결),기타장기종업원급여,2024-12-31,2601961504,원
현금흐름표(연결),유형자산처분손실,2024-12-31,8353173458,원
현금흐름표(연결),무형자산처분손실,2024-12-31,654006977,원
현금흐름표(연결),유형자산처분이익,2024-12-31,4263659964,원
현금흐름표(연결),사용권자산처분이익,2024-12-31,47476709,원
현금흐름표(연결),수선비 등,2024-12-31,3421449468,원
현금흐름표(연결),유형자산손상차손,2024-12-31,5987126621,원
현금흐름표(연결),충당부채전입액,2024-12-31,8279136800,원
현금흐름표(연결),수입임대료,2024-12-31,-1223065049,원
현금흐름표(연결),영업활동으로인한자산ㆍ부채의변동,2024-12-31,-3.46456E+11,원
현금흐름표(연결),매출채권의 감소(증가),2024-12-31,-1.44411E+11,원
현금흐름표(연결),(유동)기타채권의 감소(증가),2024-12-31,-9640309959,원
현금흐름표(연결),선급금의 감소(증가),2024-12-31,-975192657,원
현금흐름표(연결),선급비용의 감소(증가),2024-12-31,-9165617393,원
현금흐름표(연결),재고자산의 감소(증가),2024-12-31,-88269171766,원
현금흐름표(연결),장기매출채권의 감소(증가),2024-12-31,-85463560,원
현금흐름표(연결),기타비유동채권의 감소(증가),2024-12-31,-1491973504,원
현금흐름표(연결),장기선급비용의 감소(증가),2024-12-31,1760289790,원
현금흐름표(연결),매입채무의 증가(감소),2024-12-31,22435807566,원
현금흐름표(연결),(유동)기타부채의 증가(감소),2024-12-31,-17169904916,원
현금흐름표(연결),(비유동)기타부채의 증가(감소),2024-12-31,-562320023,원
현금흐름표(연결),국민연금전환금의 감소(증가),2024-12-31,6131000,원
현금흐름표(연결),퇴직금의 지급,2024-12-31,-81790260540,원
현금흐름표(연결),사외적립자산의 감소(증가),2024-12-31,-8292158958,원
현금흐름표(연결),기타장기종업원급여의 지급,2024-12-31,-3733786819,원
현금흐름표(연결),관계회사퇴직금의 전입,2024-12-31,713988937,원
현금흐름표(연결),충당부채의지급,2024-12-31,-580265203,원
현금흐름표(연결),하자보수충당부채의 증가(감소),2024-12-31,-4137804788,원
현금흐름표(연결),소송충당부채의 지급,2024-12-31,-933975750,원
현금흐름표(연결),산림훼손충당부채의 지급,2024-12-31,-132300000,원
현금흐름표(연결),법인세의 납부(환급),2024-12-31,1.32908E+11,원
현금흐름표(연결),투자활동현금흐름,2024-12-31,2.81537E+11,원
현금흐름표(연결),지분법적용 투자지분의 취득,2024-12-31,7446160339,원
현금흐름표(연결),파생상품정산순결재액,2024-12-31,12337305043,원
현금흐름표(연결),단기금융상품의 취득,2024-12-31,38274379191,원
현금흐름표(연결),장기금융상품의 취득,2024-12-31,186152665,원
현금흐름표(연결),단기대여금의 증가,2024-12-31,200000000,원
현금흐름표(연결),장기대여금의 증가,2024-12-31,4397000000,원
현금흐름표(연결),당기손익-공정가치측정금융자산의 취득,2024-12-31,2125092493,원
현금흐름표(연결),국공채의 취득,2024-12-31,2050000,원
현금흐름표(연결),유형자산의 취득,2024-12-31,2.5772E+11,원
현금흐름표(연결),무형자산의 취득,2024-12-31,7280781946,원
현금흐름표(연결),보증금의 증가,2024-12-31,801396990,원
현금흐름표(연결),단기대여금의 감소,2024-12-31,4521464945,원
현금흐름표(연결),장기대여금의 감소,2024-12-31,489845174,원
현금흐름표(연결),국공채의 만기도래,2024-12-31,173440000,원
현금흐름표(연결),유형자산의 처분,2024-12-31,7127725010,원
현금흐름표(연결),무형자산의 처분,2024-12-31,8854876,원
현금흐름표(연결),정부보조금의 수취,2024-12-31,638105009,원
현금흐름표(연결),보증금의 감소,2024-12-31,6045769643,원
현금흐름표(연결),이자수취,2024-12-31,29111708875,원
현금흐름표(연결),배당금수취,2024-12-31,1.35215E+11,원
현금흐름표(연결),지분법적용 투자주식의 처분,2024-12-31,3.24159E+11,원
현금흐름표(연결),기타포괄손익-공정가치측정금융자산의처분,2024-12-31,3593628990,원
현금흐름표(연결),재무활동현금흐름,2024-12-31,-1.45406E+12,원
현금흐름표(연결),단기차입금의 순증감,2024-12-31,-3.27023E+11,원
현금흐름표(연결),유동성장기차입금의 상환,2024-12-31,-5.54217E+11,원
현금흐름표(연결),장기차입금의 차입,2024-12-31,6.48687E+11,원
현금흐름표(연결),이자지급,2024-12-31,2.99722E+11,원
현금흐름표(연결),배당금지급,2024-12-31,-58833368000,원
현금흐름표(연결),사채의 발행,2024-12-31,8.77514E+11,원
현금흐름표(연결),사채의 상환,2024-12-31,3.7E+11,원
현금흐름표(연결),리스부채의 지급,2024-12-31,33913465778,원
현금흐름표(연결),비지배지분의 취득,2024-12-31,8.07938E+11,원
현금흐름표(연결),장기차입금 상환,2024-12-31,5.45592E+11,원
현금흐름표(연결),임대보증금의 증가,2024-12-31,17669973000,원
