기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타유동금융자산,1446,백만원,2025Q3|재무상태표|기타유동금융자산|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타유동금융자산 | 재무상태표 | 연결재무상태표 | 기타유동금융자산 | 백만원,2025년 3분기 연결재무상태표 기준 기타유동금융자산은 1446백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타장기종업원급여부채,57648,백만원,2025Q3|재무상태표|기타장기종업원급여부채|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타장기종업원급여부채 | 재무상태표 | 연결재무상태표 | 기타장기종업원급여부채 | 백만원,2025년 3분기 연결재무상태표 기준 기타장기종업원급여부채은 57648백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타채권,109070,백만원,2025Q3|재무상태표|기타채권|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타채권 | 재무상태표 | 연결재무상태표 | 기타채권 | 백만원,2025년 3분기 연결재무상태표 기준 기타채권은 109070백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타포괄손익누계액,971447,백만원,2025Q3|재무상태표|기타포괄손익누계액|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타포괄손익누계액 | 재무상태표 | 연결재무상태표 | 기타포괄손익누계액 | 백만원,2025년 3분기 연결재무상태표 기준 기타포괄손익누계액은 971447백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,단기금융상품,216899,백만원,2025Q3|재무상태표|단기금융상품|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 단기금융상품 | 재무상태표 | 연결재무상태표 | 단기금융상품 | 백만원,2025년 3분기 연결재무상태표 기준 단기금융상품은 216899백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,단기차입금,995194,백만원,2025Q3|재무상태표|단기차입금|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 단기차입금 | 재무상태표 | 연결재무상태표 | 단기차입금 | 백만원,2025년 3분기 연결재무상태표 기준 단기차입금은 995194백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,매입채무,670278,백만원,2025Q3|재무상태표|매입채무|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 매입채무 | 재무상태표 | 연결재무상태표 | 매입채무 | 백만원,2025년 3분기 연결재무상태표 기준 매입채무은 670278백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,매출채권,1207093,백만원,2025Q3|재무상태표|매출채권|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 매출채권 | 재무상태표 | 연결재무상태표 | 매출채권 | 백만원,2025년 3분기 연결재무상태표 기준 매출채권은 1207093백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,무형자산,366392,백만원,2025Q3|재무상태표|무형자산|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 무형자산 | 재무상태표 | 연결재무상태표 | 무형자산 | 백만원,2025년 3분기 연결재무상태표 기준 무형자산은 366392백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,미수법인세환급액,2717,백만원,2025Q3|재무상태표|미수법인세환급액|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 미수법인세환급액 | 재무상태표 | 연결재무상태표 | 미수법인세환급액 | 백만원,2025년 3분기 연결재무상태표 기준 미수법인세환급액은 2717백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,미지급법인세,131119,백만원,2025Q3|재무상태표|미지급법인세|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 미지급법인세 | 재무상태표 | 연결재무상태표 | 미지급법인세 | 백만원,2025년 3분기 연결재무상태표 기준 미지급법인세은 131119백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,부채 및 자본총계,16211875,백만원,2025Q3|재무상태표|부채 및 자본총계|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 부채 및 자본총계 | 재무상태표 | 연결재무상태표 | 부채 및 자본총계 | 백만원,2025년 3분기 연결재무상태표 기준 부채 및 자본총계은 16211875백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,부채총계,8761129,백만원,2025Q3|재무상태표|부채총계|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 부채총계 | 재무상태표 | 연결재무상태표 | 부채총계 | 총부채 | liabilities | total liabilities | 백만원,2025년 3분기 연결재무상태표 기준 부채총계은 8761129백만원이며 기준일은 2025-09-30입니다.
