기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,short_context,keywords,query_text
2021-06-30,2021,Q2,2021 Q2,전사(공통),매출액,QoQ(%),11,%,2021 Q2 전사(공통) 매출액 QoQ(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 전사(공통) | 매출액 | QoQ(%) | %,2021년 Q2 전사(공통) 매출액 ; 2021 Q2 전사(공통) 매출액 ; 2021-06-30 전사(공통) 매출액 ; 전사(공통) QoQ(%) ; 전사(공통) 매출액 %
2021-06-30,2021,Q2,2021 Q2,전사(공통),매출액,매출액,1512674,백만원,2021 Q2 전사(공통) 매출액 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 전사(공통) | 매출액 | 백만원,2021년 Q2 전사(공통) 매출액 ; 2021 Q2 전사(공통) 매출액 ; 2021-06-30 전사(공통) 매출액 ; 전사(공통) 매출액 백만원
2021-06-30,2021,Q2,2021 Q2,전사(공통),영업이익,QoQ(%),51,%,2021 Q2 전사(공통) 영업이익 QoQ(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 전사(공통) | 영업이익 | QoQ(%) | %,2021년 Q2 전사(공통) 영업이익 ; 2021 Q2 전사(공통) 영업이익 ; 2021-06-30 전사(공통) 영업이익 ; 전사(공통) QoQ(%) ; 전사(공통) 영업이익 %
2021-06-30,2021,Q2,2021 Q2,전사(공통),영업이익,영업이익,116987,백만원,2021 Q2 전사(공통) 영업이익 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 전사(공통) | 영업이익 | 백만원,2021년 Q2 전사(공통) 영업이익 ; 2021 Q2 전사(공통) 영업이익 ; 2021-06-30 전사(공통) 영업이익 ; 전사(공통) 영업이익 백만원
2021-06-30,2021,Q2,2021 Q2,전사(공통),영업이익,영업이익률(%),8,%,2021 Q2 전사(공통) 영업이익 영업이익률(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 전사(공통) | 영업이익 | 영업이익률(%) | %,2021년 Q2 전사(공통) 영업이익 ; 2021 Q2 전사(공통) 영업이익 ; 2021-06-30 전사(공통) 영업이익 ; 전사(공통) 영업이익률(%) ; 전사(공통) 영업이익 %
2021-09-30,2021,Q3,2021 Q3,건자재,매출액,매출액,234176,백만원,2021 Q3 건자재 매출액 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 건자재 | 매출액 | 백만원,2021년 Q3 건자재 매출액 ; 2021 Q3 건자재 매출액 ; 2021-09-30 건자재 매출액 ; 건자재 매출액 백만원
2021-09-30,2021,Q3,2021 Q3,건자재,영업이익,QoQ(%),-7,%,2021 Q3 건자재 영업이익 QoQ(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 건자재 | 영업이익 | QoQ(%) | %,2021년 Q3 건자재 영업이익 ; 2021 Q3 건자재 영업이익 ; 2021-09-30 건자재 영업이익 ; 건자재 QoQ(%) ; 건자재 영업이익 %
2021-09-30,2021,Q3,2021 Q3,건자재,영업이익,영업이익,20018,백만원,2021 Q3 건자재 영업이익 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 건자재 | 영업이익 | 백만원,2021년 Q3 건자재 영업이익 ; 2021 Q3 건자재 영업이익 ; 2021-09-30 건자재 영업이익 ; 건자재 영업이익 백만원
2021-09-30,2021,Q3,2021 Q3,건자재,영업이익,영업이익률(%),9,%,2021 Q3 건자재 영업이익 영업이익률(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 건자재 | 영업이익 | 영업이익률(%) | %,2021년 Q3 건자재 영업이익 ; 2021 Q3 건자재 영업이익 ; 2021-09-30 건자재 영업이익 ; 건자재 영업이익률(%) ; 건자재 영업이익 %
2021-09-30,2021,Q3,2021 Q3,기타,매출액,매출액,95029,백만원,2021 Q3 기타 매출액 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 기타 | 매출액 | 백만원,2021년 Q3 기타 매출액 ; 2021 Q3 기타 매출액 ; 2021-09-30 기타 매출액 ; 기타 매출액 백만원
