09,법인세비용(수익)," 6,959,565,243 "," 30,056,818,845 "," 50,730,449,658 "," 35,653,022,637 "," 128,637,834,765 "," 26,943,507,934 "," 137,181,660,585 "," 10,741,517,762 "," 17,832,568,821 ","-18,765,397,836 "," 32,824,779,789 "," 29,567,235,359 ","-126,026,199,062 "," 8,546,347,771 ","-20,083,721,645 "," 154,099,253,274 "," 557,318,327 "," 62,735,282,946 ","-19,037,708,485 ","-33,762,983,684 "," 14,043,554,595 "," 69,597,562,878 ","-3,940,901,040 "," 576,144,491 "," 16,027,748,987 "," 59,555,927,807 "," 96,122,103,065 ","164,553,190,773","137,130,905,587","150,647,047,201","162,405,660,825","67,496,503,366","2,461,132,593","348,094,817,513","466,984,525,127"
10,당기순손익," 32,782,227,260 "," 103,144,689,427 "," 169,001,088,961 ","-27,029,661,398 "," 369,104,287,679 "," 25,708,529,164 "," 353,248,011,169 ","-21,929,626,963 "," 36,190,199,106 ","-73,727,776,775 ","-127,390,985,811 ","-119,231,068,253 ","-305,061,236,613 "," 89,355,864,623 "," 19,316,452,862 "," 705,810,059,911 "," 145,584,420,918 "," 337,692,153,407 "," 73,981,000,941 "," 63,511,316,187 ","-40,486,140,780 "," 88,330,515,973 ","-188,514,843,254 "," 7,342,768,147 "," 55,652,118,543 "," 190,761,405,293 "," 290,755,937,292 ","540,829,452,720","575,561,937,477","595,616,310,492","632,465,097,686","570,847,136,323","106,653,594,263","1,040,593,415,658","1,407,078,451,417"
10-01,계속영업당기순손익, - , - , - , - , - , - , - , - , - , - , - ,"-120,370,778,913 ","-382,727,802,712 "," 11,689,298,524 ","-58,350,113,237 "," 608,571,649,451 "," 2,727,244,911 "," 194,834,977,400 ","-69,718,272,747 ","-80,472,856,383 ","-40,486,140,780 "," 88,330,515,973 ","-188,514,843,254 "," 7,342,768,147 ", - , - , - ,"540,829,452,720",0,0,0,0,0,0,0
10-02,중단영업당기순손익, - , - , - , - , - , - , - , - , - , - , - ," 1,139,710,660 "," 77,666,566,099 "," 77,666,566,099 "," 77,666,566,099 "," 97,238,410,460 "," 142,857,176,007 "," 142,857,176,007 "," 143,699,273,688 "," 143,984,172,570 ", - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
11,기타포괄손익," 100,463,049,637 "," 608,761,705,312 "," 342,901,474,814 "," 18,482,130,030 ", - , - , - ,"-4,226,988,425 ", - , - , - ,"-1,026,283,605 ","-40,717,052,321 ","-34,588,678,080 ","-36,152,913,463 ","-20,634,182,128 "," 5,599,586,958 "," 11,088,053,093 "," 13,789,407,519 "," 9,771,288,892 "," 1,500,752,459 ","-4,952,483,114 ","-8,554,289,015 "," 4,203,000,378 "," 1,170,494,291 "," 3,259,142,268 "," 1,736,169,785 ","-35,682,516,727","-507,918,497","-749,602,013","-749,602,013","-6,053,852,641","675,440,296,712","680,045,042,525","675,156,597,449"
11-01,   후속기간에 당기손익으로 재분류되는 항목, - , - ," 342,901,474,814 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
11-01-01,      매도가능금융자산평가손익(세후기타포괄손익)," 100,463,049,637 "," 608,761,705,312 "," 342,901,474,814 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
11-02,   후속기간에 당기손익으로 재분류되지 않는 항목, - , - , - , - , - , - , - ,"-4,226,988,425 ", - , - , - ,"-1,026,283,605 ","-40,717,052,321 ","-34,588,678,080 ","-36,152,913,463 ","-20,634,182,128 "," 5,599,586,958 ", - , - ," 9,771,288,892 "," 1,500,752,459 ","-4,952,483,114 ","-8,554,289,015 "," 4,203,000,378 "," 1,170,494,291 ", - ," 1,736,169,785 ","-35,682,516,727","-507,918,497","-749,602,013","-749,602,013","-6,053,852,641","675,440,296,712","680,045,042,525","675,156,597,449"
11-02-01,      확정급여제도의 재측정요소, - , - , - ," 18,482,130,030 ", - , - , - ,"-4,226,988,425 ", - , - , - ,"-1,026,283,605 ", - , - , - ," 12,175,981,749 ", - , - , - ,"-116,162,234 ", - , - , - ," 14,524,370,227 ", - , - , - ,"-37,462,200,011",0,0,0,"-4,283,188,158",0,0,0
11-02-03,      기타포괄손익-공정가치측정금융자산평가이익(손실), - , - , - , - , - , - , - , - , - , - , - , - , - ,"-34,588,678,080 ","-36,152,913,463 ","-32,810,163,877 "," 5,599,586,958 "," 11,088,053,093 "," 13,789,407,519 "," 9,887,451,126 "," 1,500,752,459 ","-4,952,483,114 ","-8,554,289,015 ","-10,321,369,849 "," 1,170,494,291 "," 3,259,142,268 "," 1,736,169,785 ","1,779,683,284","-507,918,497","-749,602,013","-749,602,013","-1,770,664,483","-2,268,839,458","-1,520,315,872","-3,437,266,519"
11-02-04,      보험수리적손익, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
11-02-05,      재평가이익,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"677,709,136,170","681,565,358,397","678,593,863,968"
12,총포괄손익," 133,245,276,897 "," 711,906,394,739 "," 511,902,563,775 ","-8,547,531,368 "," 369,104,287,679 "," 25,708,529,164 "," 353,248,011,169 ","-26,156,615,388 "," 36,190,199,106 ","-73,727,776,775 ","-127,390,985,811 ","-120,257,351,858 ","-345,778,288,934 "," 54,767,186,543 ","-16,836,460,601 "," 685,175,877,783 "," 151,184,007,876 "," 348,780,206,500 "," 87,770,408,460 "," 73,282,605,079 ","-38,985,388,321 "," 83,378,032,859 ","-197,069,132,269 "," 11,545,768,525 "," 56,822,612,834 "," 194,020,547,561 "," 292,492,107,077 ","505,146,935,993","575,054,018,980","594,866,708,479","631,715,495,673","564,793,283,682","782,093,890,975","1,720,638,458,183","2,082,235,048,866"
13,주당손익," 3,334 "," 10,489 "," 17,186 ","-2,749 "," 37,536 "," 2,614 "," 35,923 ","-2,230 "," 3,680 ","-7,498 ","-12,955 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 25,939 "," 39,536 ",0,"78,263","80,990","86,001","77,622","14,502","141,497","191,331"
13-01,   희석주당이익(손실)," 3,334 "," 10,489 "," 17,186 ","-2,749 "," 37,536 "," 2,614 "," 35,923 ","-2,230 "," 3,680 ","-7,498 ","-12,955 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 39,536 ",0,"78,263","80,990","86,001","77,622","14,502","141,497","191,331"
14,   지배기업소유주지분, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
14-01,   계속영업기본주당이익(손실), - , - , - , - , - , - , - , - , - , - , - ,"-12,241 ", - ," 1,413 ","-7,055 "," 74,434 ", 356 ," 25,442 ","-9,104 ","-10,508 ","-5,315 "," 11,800 ","-25,333 ", 990 ," 7,567 ", - , - ,"73,541",0,0,0,0,0,0,0
14-02,   중단영업기본주당이익(손실), - , - , - , - , - , - , - , - , - , - , - , 116 , - ," 9,390 "," 9,391 "," 11,893 "," 18,654 "," 18,654 "," 18,764 "," 18,801 ", - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
14-03,   계속영업희석주당이익(손실), - , - , - , - , - , - , - , - , - , - , - ,"-12,241 ", - ," 1,413 ","-7,055 "," 74,434 ", 356 ," 25,442 ","-9,104 ","-10,508 ","-5,315 "," 11,800 ","-25,333 ", 990 ," 7,567 "," 25,939 ", - ,"73,541",0,0,0,0,0,0,0
14-04,   중단영업희석주당이익(손실), - , - , - , - , - , - , - , - , - , - , - , 116 , - ," 9,390 "," 9,391 "," 11,893 "," 18,654 "," 18,654 "," 18,764 "," 18,801 ", - , - , - , - , - , - , - ,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,검증1 (영업이익), TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE 
,검증2 (당기순이익), TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE , TRUE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순분기 기준(3개월),제출시점 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01,매출액," 768,902,200,313 "," 884,074,853,545 "," 892,305,484,492 "," 881,211,412,547 "," 805,678,990,528 "," 885,738,582,706 "," 810,748,551,482 "," 845,169,743,181 "," 694,541,847,291 "," 786,653,004,375 "," 749,925,504,366 "," 165,483,386,513 "," 550,688,087,187 "," 574,406,484,918 "," 547,232,262,962 "," 399,523,930,749 "," 504,267,223,505 "," 580,630,930,137 "," 571,114,320,152 "," 630,575,275,807 "," 591,633,937,664 "," 691,108,740,628 "," 685,954,176,132 "," 733,008,720,134 "," 698,957,765,208 "," 746,470,847,248 "," 755,998,435,490 "," 798,089,542,198 "," 761,600,275,908 "," 855,758,961,733 "," 748,529,621,866 "," 761,041,630,103 ","-2,426,866,632,803 "," 782,984,139,577 "," 746,115,115,735 "
02,매출원가," 586,609,171,452 "," 672,141,686,799 "," 685,583,184,962 "," 696,132,710,558 "," 636,589,318,573 "," 679,914,420,991 "," 626,963,235,910 "," 670,475,008,342 "," 547,800,539,204 "," 604,738,477,758 "," 583,006,970,796 "," 100,056,325,231 "," 429,514,129,693 "," 445,723,264,407 "," 425,033,359,713 "," 312,144,423,166 "," 403,673,542,242 "," 461,107,901,161 "," 459,126,164,536 "," 507,378,360,308 "," 470,560,922,097 "," 534,116,796,181 "," 543,545,479,339 "," 581,791,182,123 "," 553,162,693,303 "," 541,461,968,598 "," 546,661,500,915 "," 587,008,277,250 "," 570,438,139,728 "," 638,194,868,682 "," 564,653,114,355 "," 569,674,363,068 ","-1,806,261,299,877 "," 594,586,725,172 "," 562,215,329,167 "
03,매출총이익," 182,293,028,861 "," 211,933,166,746 "," 206,722,299,530 "," 185,078,701,989 "," 169,089,671,955 "," 205,824,161,715 "," 183,785,315,572 "," 174,694,734,839 "," 146,741,308,087 "," 181,914,526,617 "," 166,918,533,570 "," 65,427,061,282 "," 121,173,957,494 "," 128,683,220,511 "," 122,198,903,249 "," 87,379,507,583 "," 100,593,681,263 "," 119,523,028,976 "," 111,988,155,616 "," 123,196,915,499 "," 121,073,015,567 "," 156,991,944,447 "," 142,408,696,793 "," 151,217,538,011 "," 145,795,071,905 "," 205,008,878,650 "," 209,336,934,575 "," 211,081,264,948 "," 191,162,136,180 "," 217,564,093,051 "," 183,876,507,511 "," 191,367,267,035 ","-620,605,332,926 "," 188,397,414,405 "," 183,899,786,568 "
04,판매비와관리비," 120,862,944,766 "," 128,454,986,076 "," 114,908,707,456 "," 145,548,066,553 "," 120,479,659,934 "," 131,144,254,182 "," 112,212,509,849 "," 140,933,704,913 "," 120,903,900,236 "," 128,314,502,588 "," 118,191,361,893 "," 54,110,296,784 "," 94,900,098,224 "," 96,792,524,220 "," 95,084,227,196 "," 76,148,371,938 "," 89,436,695,878 "," 98,134,520,497 "," 85,536,540,362 "," 103,182,204,607 "," 95,815,650,221 "," 95,848,571,731 "," 90,805,563,660 "," 111,430,067,123 "," 94,556,380,017 "," 107,361,673,408 "," 99,067,661,399 "," 124,953,599,458 "," 102,979,561,110 "," 115,435,001,586 "," 107,567,688,866 "," 120,975,149,671 ","-345,295,868,111 "," 105,216,397,974 "," 105,672,554,024 "
05,영업이익," 61,430,084,095 "," 83,478,180,670 "," 91,813,592,074 "," 39,530,635,436 "," 48,610,012,021 "," 74,679,907,533 "," 71,572,805,723 "," 33,761,029,926 "," 25,837,407,851 "," 53,600,024,029 "," 48,727,171,677 "," 11,316,764,498 "," 26,273,859,270 "," 31,890,696,291 "," 27,114,676,053 "," 11,231,135,645 "," 11,156,985,385 "," 21,388,508,479 "," 26,451,615,254 "," 20,014,710,892 "," 25,257,365,346 "," 61,143,372,716 "," 51,603,133,133 "," 39,787,470,888 "," 51,238,691,888 "," 97,647,205,242 "," 110,269,273,176 "," 86,127,665,490 "," 88,182,575,070 "," 102,129,091,465 "," 76,308,818,645 "," 70,392,117,364 ","-275,309,464,815 "," 83,181,016,431 "," 78,227,232,544 "
06,순금융손익,"-21,588,641,656 "," 6,483,118,407 ", - ,"-122,982,152,572 ", - ,"-523,665,907,330 "," 353,419,714,441 ","-523,505,667,972 "," 32,637,420,003 ","-203,684,619,507 ","-117,765,010,473 "," 278,002,449,825 ","-536,366,560,571 "," 496,278,760,692 ","-206,502,566,932 "," 698,559,062,318 ","-42,628,287,718 "," 225,008,898,851 ","-376,830,733,069 ","-119,146,631,050 ","-56,442,956,136 "," 119,717,859,982 ","-401,686,643,205 "," 118,680,803,482 "," 721,455,346 "," 81,318,320,255 "," 17,212,466,150 "," 227,467,699,240 "," 617,436,196,645 ","-75,179,347,109 ","-36,503,119,747 ","-232,867,638,924 ","-255,518,521,071 "," 1,195,591,503,400 "," 397,029,698,593 "
06-01,금융수익," 58,932,479,418 "," 30,793,709,821 "," 12,551,962,880 "," 211,304,580,845 "," 502,163,013,178 "," 81,281,474,769 "," 391,522,022,728 ","-107,934,937,445 "," 108,580,511,722 "," 48,606,596,668 "," 17,341,208,643 "," 45,971,047,104 "," 113,759,978,757 "," 542,450,428,114 "," 27,827,444,555 "," 544,372,081,080 "," 220,909,463,044 "," 249,008,220,206 "," 34,875,087,858 "," 20,128,857,757 "," 114,126,654,114 "," 191,875,390,059 "," 70,331,972,744 "," 35,582,074,906 "," 145,009,778,092 "," 171,792,243,068 "," 54,776,419,414 "," 275,596,590,459 "," 687,489,222,676 "," 135,197,420,103 "," 15,993,771,386 "," 73,901,479,264 ","-595,552,015,659 "," 1,202,281,179,918 "," 531,201,094,702 "
06-02,금융원가,"-80,521,121,074 ","-24,310,591,414 "," 17,250,974,762 "," 334,286,733,417 "," 54,625,641,173 ","-604,947,382,099 "," 38,102,308,287 "," 415,570,730,527 "," 75,943,091,719 "," 252,291,216,175 "," 135,106,219,116 ","-232,031,402,721 "," 650,126,539,328 "," 46,171,667,422 "," 234,330,011,487 ","-154,186,981,238 "," 263,537,750,762 "," 23,999,321,355 "," 411,705,820,927 "," 139,275,488,807 "," 170,569,610,250 "," 72,157,530,077 "," 472,018,615,949 ","-83,098,728,576 "," 144,288,322,746 "," 90,473,922,813 ","-37,563,953,264 "," 523,056,618,783 "," 70,053,026,031 "," 210,376,767,212 "," 52,496,891,133 "," 306,769,118,188 ","-340,033,494,588 "," 6,689,676,518 "," 134,171,396,109 "
07,기타영업외손익,"-99,649,936 "," 3,498,416,692 ", - ,"-127,656,660,244 ", - ," 3,895,914,451 "," 12,785,114,492 ","-11,873,142,909 ","-4,452,059,927 "," 3,568,652,940 "," 1,315,247,807 ","-219,906,992,277 "," 1,338,699,527 "," 820,191,086 "," 80,718,409,702 "," 131,314,539,644 "," 34,755,865,571 "," 7,888,289,778 "," 4,052,876,237 "," 73,652,061,323 "," 4,743,004,605 "," 3,509,432,338 ","-300,313,073 "," 41,906,382,562 "," 19,719,720,296 ","-328,059,927 "," 9,078,967,931 "," 4,909,238,406 "," 7,074,071,349 "," 6,620,770,273 "," 8,801,701,920 "," 5,948,402,738 "," 1,599,073,053 "," 800,986,484 "," 10,117,812,236 "
07-01,기타이익," 9,287,074,710 "," 10,491,111,795 "," 10,223,692,783 "," 17,970,508,905 "," 9,771,222,760 "," 9,748,898,258 "," 18,872,124,674 "," 13,144,047,279 "," 6,988,195,971 "," 17,085,387,177 "," 8,872,686,669 "," 53,809,075,252 "," 6,255,469,288 "," 6,632,621,559 "," 87,833,405,732 "," 156,642,797,528 "," 37,480,031,948 "," 13,320,953,876 "," 9,904,456,721 "," 76,741,699,086 "," 9,238,575,558 "," 12,838,175,795 "," 11,281,146,374 "," 51,720,324,849 "," 29,164,625,875 "," 15,711,253,166 "," 10,759,172,965 "," 13,467,459,097 "," 10,408,325,521 "," 14,634,275,766 "," 11,562,695,670 "," 14,346,473,530 ","-7,252,415,845 "," 12,739,581,396 "," 12,961,763,641 "
07-02,기타손실,"-9,386,724,646 ","-6,992,695,103 "," 10,808,242,628 "," 145,627,169,149 "," 8,176,484,342 ","-5,852,983,807 "," 6,087,010,182 "," 25,017,190,188 "," 11,440,255,898 "," 13,516,734,237 "," 7,557,438,862 "," 273,716,067,529 "," 4,916,769,761 "," 5,812,430,473 "," 7,114,996,030 "," 25,328,257,884 "," 2,724,166,377 "," 5,432,664,098 "," 5,851,580,484 "," 3,089,637,763 "," 4,495,570,953 "," 9,328,743,457 "," 11,581,459,447 "," 9,813,942,287 "," 9,444,905,579 "," 16,039,313,093 ","-1,680,205,034 "," 62,887,068,103 "," 3,334,254,172 "," 8,013,505,493 "," 2,760,993,750 "," 8,398,070,792 ","-8,851,488,898 "," 11,938,594,912 "," 2,843,951,405 "
