분류,항목,기간,수치,단위
재무상태표(연결),기타장기종업원급여부채,2022-12-31,19109085038,원
재무상태표(연결),비유동충당부채,2022-12-31,14527295823,원
재무상태표(연결),이연법인세부채,2022-12-31,4.48431E+11,원
재무상태표(연결),부채총계,2022-12-31,7.56735E+12,원
재무상태표(연결),지배기업소유지분,2022-12-31,5.11779E+12,원
재무상태표(연결),자본금,2022-12-31,48084660000,원
재무상태표(연결),자본잉여금,2022-12-31,5.52913E+11,원
재무상태표(연결),자본조정,2022-12-31,-3.04847E+11,원
재무상태표(연결),기타포괄손익누계액,2022-12-31,23231821349,원
재무상태표(연결),이익잉여금,2022-12-31,4.7984E+12,원
재무상태표(연결),비지배지분,2022-12-31,4.33353E+11,원
재무상태표(연결),자본총계,2022-12-31,5.55114E+12,원
재무상태표(연결),부채및자본총계,2022-12-31,1.31185E+13,원
재무상태표(연결),유동자산,2023-12-31,4.17819E+12,원
재무상태표(연결),현금및현금성자산,2023-12-31,1.04514E+12,원
재무상태표(연결),단기금융상품,2023-12-31,5.09869E+11,원
재무상태표(연결),매출채권,2023-12-31,1.03982E+12,원
재무상태표(연결),기타채권,2023-12-31,89234553349,원
재무상태표(연결),선급금,2023-12-31,16696258276,원
재무상태표(연결),선급비용,2023-12-31,45249447613,원
재무상태표(연결),기타유동금융자산,2023-12-31,32224008079,원
재무상태표(연결),미수법인세환급액,2023-12-31,959695669,원
재무상태표(연결),재고자산,2023-12-31,1.399E+12,원
재무상태표(연결),비유동자산,2023-12-31,9.17528E+12,원
재무상태표(연결),장기매출채권,2023-12-31,1655272037,원
재무상태표(연결),기타채권,2023-12-31,89214901622,원
재무상태표(연결),기타비유동금융자산,2023-12-31,2.72387E+12,원
재무상태표(연결),지분법적용투자지분,2023-12-31,7.04809E+11,원
재무상태표(연결),사용권자산,2023-12-31,1.99176E+11,원
재무상태표(연결),유형자산,2023-12-31,3.44711E+12,원
재무상태표(연결),무형자산,2023-12-31,3.9339E+11,원
재무상태표(연결),영업권,2023-12-31,8.8847E+11,원
재무상태표(연결),투자부동산,2023-12-31,7.05089E+11,원
재무상태표(연결),이연법인세자산,2023-12-31,15738478639,원
재무상태표(연결),순확정급여자산,2023-12-31,6763957443,원
재무상태표(연결),자산총계,2023-12-31,1.33535E+13,원
재무상태표(연결),유동부채,2023-12-31,3.83644E+12,원
재무상태표(연결),매입채무,2023-12-31,6.47425E+11,원
재무상태표(연결),기타부채,2023-12-31,7.56534E+11,원
재무상태표(연결),단기차입금,2023-12-31,1.21735E+12,원
재무상태표(연결),유동성장기차입금,2023-12-31,5.53484E+11,원
재무상태표(연결),유동성사채,2023-12-31,3.69805E+11,원
재무상태표(연결),유동충당부채,2023-12-31,21080877716,원
재무상태표(연결),기타유동금융부채,2023-12-31,1.6437E+11,원
재무상태표(연결),미지급법인세,2023-12-31,1.06392E+11,원
재무상태표(연결),비유동부채,2023-12-31,4.0695E+12,원
재무상태표(연결),장기차입금,2023-12-31,2.26157E+12,원
재무상태표(연결),비유동사채,2023-12-31,7.48637E+11,원
재무상태표(연결),기타부채,2023-12-31,1.84049E+11,원
재무상태표(연결),순확정급여부채,2023-12-31,3.00681E+11,원
재무상태표(연결),기타장기종업원급여부채,2023-12-31,55856693888,원
재무상태표(연결),비유동충당부채,2023-12-31,21640366161,원
재무상태표(연결),이연법인세부채,2023-12-31,4.97063E+11,원
재무상태표(연결),부채총계,2023-12-31,7.90594E+12,원
재무상태표(연결),지배기업소유지분,2023-12-31,5.17736E+12,원
재무상태표(연결),자본금,2023-12-31,48084660000,원
재무상태표(연결),자본잉여금,2023-12-31,5.52913E+11,원
재무상태표(연결),자본조정,2023-12-31,-3.04847E+11,원
재무상태표(연결),기타포괄손익누계액,2023-12-31,-21227448772,원
재무상태표(연결),이익잉여금,2023-12-31,4.90244E+12,원
재무상태표(연결),비지배지분,2023-12-31,2.70166E+11,원
재무상태표(연결),자본총계,2023-12-31,5.44753E+12,원
재무상태표(연결),부채및자본총계,2023-12-31,1.33535E+13,원
재무상태표(연결),유동자산,2024-12-31,3.99449E+12,원
재무상태표(연결),현금및현금성자산,2024-12-31,5.0133E+11,원
재무상태표(연결),단기금융상품,2024-12-31,5.10145E+11,원
재무상태표(연결),매출채권,2024-12-31,1.21349E+12,원
재무상태표(연결),기타채권,2024-12-31,95247085439,원
재무상태표(연결),선급금,2024-12-31,16911153066,원
재무상태표(연결),선급비용,2024-12-31,50561936755,원
재무상태표(연결),기타유동금융자산,2024-12-31,21694681916,원
재무상태표(연결),미수법인세환급액,2024-12-31,1870038922,원
재무상태표(연결),재고자산,2024-12-31,1.58324E+12,원
재무상태표(연결),비유동자산,2024-12-31,9.11406E+12,원
재무상태표(연결),장기매출채권,2024-12-31,492399886,원
재무상태표(연결),기타채권,2024-12-31,94180691393,원
재무상태표(연결),기타비유동금융자산,2024-12-31,2.76707E+12,원
재무상태표(연결),지분법적용투자지분,2024-12-31,3.35788E+11,원
재무상태표(연결),사용권자산,2024-12-31,2.04204E+11,원
재무상태표(연결),유형자산,2024-12-31,3.52548E+12,원
재무상태표(연결),무형자산,2024-12-31,3.94699E+11,원
재무상태표(연결),영업권,2024-12-31,1.01256E+12,원
재무상태표(연결),투자부동산,2024-12-31,7.51491E+11,원
재무상태표(연결),이연법인세자산,2024-12-31,18341411572,원
재무상태표(연결),순확정급여자산,2024-12-31,9759641098,원
재무상태표(연결),자산총계,2024-12-31,1.31086E+13,원
재무상태표(연결),유동부채,2024-12-31,3.23086E+12,원
재무상태표(연결),매입채무,2024-12-31,7.70281E+11,원
재무상태표(연결),기타부채,2024-12-31,8.17906E+11,원
재무상태표(연결),단기차입금,2024-12-31,9.10081E+11,원
재무상태표(연결),유동성장기차입금,2024-12-31,1.50081E+11,원
재무상태표(연결),유동성사채,2024-12-31,3.1991E+11,원
재무상태표(연결),유동충당부채,2024-12-31,32737475143,원
