기준일,연도,분기,기간표준,지표,수치,단위,산출기준,search_tag,search_text,fact_text
2025-12-31,2025,Q4,2025 Q4,유동부채,3982446.0,백만원,,2025Q4|주요재무지표|유동부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동부채 | 주요재무지표 | 유동부채 | current liabilities | 백만원,2025년 4분기 주요재무지표 기준 유동부채은 3982446.0백만원입니다.
2025-12-31,2025,Q4,2025 Q4,부채비율,114.8,%,(부채총계/자기자본)*100,2025Q4|주요재무지표|부채비율|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 부채비율 | 주요재무지표 | 부채비율 | debt ratio | % | (부채총계/자기자본)*100,2025년 4분기 주요재무지표 기준 부채비율은 114.8%입니다. 산출기준은 (부채총계/자기자본)*100입니다.
2025-12-31,2025,Q4,2025 Q4,부채총계,8979074.0,백만원,,2025Q4|주요재무지표|부채총계|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 부채총계 | 주요재무지표 | 부채총계 | total liabilities | 총부채 | 백만원,2025년 4분기 주요재무지표 기준 부채총계은 8979074.0백만원입니다.
2025-12-31,2025,Q4,2025 Q4,자기자본,7824486.0,백만원,,2025Q4|주요재무지표|자기자본|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자기자본 | 주요재무지표 | 자기자본 | equity | 자본 | equity ratio | 백만원,2025년 4분기 주요재무지표 기준 자기자본은 7824486.0백만원입니다.
2025-12-31,2025,Q4,2025 Q4,자기자본비율,46.6,%,(자기자본/총자산)*100,2025Q4|주요재무지표|자기자본비율|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자기자본비율 | 주요재무지표 | 자기자본비율 | equity | 자본 | equity ratio | % | (자기자본/총자산)*100,2025년 4분기 주요재무지표 기준 자기자본비율은 46.6%입니다. 산출기준은 (자기자본/총자산)*100입니다.
2025-12-31,2025,Q4,2025 Q4,자산총계,16803559.0,백만원,,2025Q4|주요재무지표|자산총계|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자산총계 | 주요재무지표 | 자산총계 | total assets | 총자산 | assets | 백만원,2025년 4분기 주요재무지표 기준 자산총계은 16803559.0백만원입니다.
2025-12-31,2025,Q4,2025 Q4,차입금의존도,29.8,%,(차입금/총자산)*100,2025Q4|주요재무지표|차입금의존도|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 차입금의존도 | 주요재무지표 | 차입금의존도 | borrowings dependence | borrowings | debt | % | (차입금/총자산)*100,2025년 4분기 주요재무지표 기준 차입금의존도은 29.8%입니다. 산출기준은 (차입금/총자산)*100입니다.
2025-12-31,2025,Q4,2025 Q4,차입금,5010779.0,백만원,,2025Q4|주요재무지표|차입금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 차입금 | 주요재무지표 | 차입금 | borrowings dependence | borrowings | debt | 백만원,2025년 4분기 주요재무지표 기준 차입금은 5010779.0백만원입니다.
2025-12-31,2025,Q4,2025 Q4,총자산이익률,9.2,%,(당기순이익/총자산)*100,2025Q4|주요재무지표|총자산이익률|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 총자산이익률 | 주요재무지표 | 총자산이익률 | % | (당기순이익/총자산)*100,2025년 4분기 주요재무지표 기준 총자산이익률은 9.2%입니다. 산출기준은 (당기순이익/총자산)*100입니다.
2025-12-31,2025,Q4,2025 Q4,당기순이익,1538496.0,백만원,,2025Q4|주요재무지표|당기순이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 당기순이익 | 주요재무지표 | 당기순이익 | 백만원,2025년 4분기 주요재무지표 기준 당기순이익은 1538496.0백만원입니다.
2025-12-31,2025,Q4,2025 Q4,자기자본순이익률(roe),19.7,%,(당기순이익/자기자본)*100,2025Q4|주요재무지표|자기자본순이익률(roe)|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자기자본순이익률(roe) | 주요재무지표 | 자기자본순이익률(roe) | equity | 자본 | % | (당기순이익/자기자본)*100,2025년 4분기 주요재무지표 기준 자기자본순이익률(roe)은 19.7%입니다. 산출기준은 (당기순이익/자기자본)*100입니다.
2025-12-31,2025,Q4,2025 Q4,당기순이익증가율,371.1,%,((당기-전기순이익)/전기순이익)*100,2025Q4|주요재무지표|당기순이익증가율|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 당기순이익증가율 | 주요재무지표 | 당기순이익증가율 | % | ((당기-전기순이익)/전기순이익)*100,2025년 4분기 주요재무지표 기준 당기순이익증가율은 371.1%입니다. 산출기준은 ((당기-전기순이익)/전기순이익)*100입니다.
2025-12-31,2025,Q4,2025 Q4,총자산증가율,25.3,%,((당기말-전기말총자산)/전기말총자산)*100,2025Q4|주요재무지표|총자산증가율|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 총자산증가율 | 주요재무지표 | 총자산증가율 | % | ((당기말-전기말총자산)/전기말총자산)*100,2025년 4분기 주요재무지표 기준 총자산증가율은 25.3%입니다. 산출기준은 ((당기말-전기말총자산)/전기말총자산)*100입니다.
