기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2024-03-31,2024,Q1,2024 Q1,도료,매출액,매출액,419051,백만원,2024Q1|도료|매출액|매출액|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 도료 매출액 | 사업부 | 부문정보 | 도료 | 매출액 | 도료사업부 | paint | 매출 | sales | revenue | 백만원,2024년 1분기 사업부 부문정보 기준 도료의 매출액은 419051백만원이며 기준일은 2024-03-31입니다.,419051
2024-03-31,2024,Q1,2024 Q1,도료,영업이익,영업이익,54620,백만원,2024Q1|도료|영업이익|영업이익|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 1분기 사업부 부문정보 기준 도료의 영업이익은 54620백만원이며 기준일은 2024-03-31입니다.,54620
2024-03-31,2024,Q1,2024 Q1,도료,영업이익,영업이익률(%),13.03,%,2024Q1|도료|영업이익|영업이익률(%)|%,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 영업이익률(%) | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 1분기 사업부 부문정보 기준 도료의 영업이익률(%)은 13%이며 기준일은 2024-03-31입니다.,13.03
2024-03-31,2024,Q1,2024 Q1,실리콘,매출액,매출액,738521,백만원,2024Q1|실리콘|매출액|매출액|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2024년 1분기 사업부 부문정보 기준 실리콘의 매출액은 738521백만원이며 기준일은 2024-03-31입니다.,738521
2024-03-31,2024,Q1,2024 Q1,실리콘,영업이익,영업이익,2741,백만원,2024Q1|실리콘|영업이익|영업이익|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 1분기 사업부 부문정보 기준 실리콘의 영업이익은 2741백만원이며 기준일은 2024-03-31입니다.,2741
2024-03-31,2024,Q1,2024 Q1,실리콘,영업이익,영업이익률(%),0.37,%,2024Q1|실리콘|영업이익|영업이익률(%)|%,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 영업이익률(%) | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 1분기 사업부 부문정보 기준 실리콘의 영업이익률(%)은 0%이며 기준일은 2024-03-31입니다.,0.37
2024-03-31,2024,Q1,2024 Q1,연결조정,영업이익,영업이익,6090,백만원,2024Q1|연결조정|영업이익|영업이익|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 연결조정 영업이익 | 사업부 | 부문정보 | 연결조정 | 영업이익 | 조정 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 1분기 사업부 부문정보 기준 연결조정의 영업이익은 6090백만원이며 기준일은 2024-03-31입니다.,6090
2024-03-31,2024,Q1,2024 Q1,전사(공통),매출액,매출액,1588372,백만원,2024Q1|전사(공통)|매출액|매출액|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2024년 1분기 사업부 부문정보 기준 전사(공통)의 매출액은 1588372백만원이며 기준일은 2024-03-31입니다.,1588372
2024-03-31,2024,Q1,2024 Q1,전사(공통),영업이익,영업이익,106907,백만원,2024Q1|전사(공통)|영업이익|영업이익|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 1분기 사업부 부문정보 기준 전사(공통)의 영업이익은 106907백만원이며 기준일은 2024-03-31입니다.,106907
2024-03-31,2024,Q1,2024 Q1,전사(공통),영업이익,영업이익률(%),6.73,%,2024Q1|전사(공통)|영업이익|영업이익률(%)|%,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 영업이익률(%) | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 1분기 사업부 부문정보 기준 전사(공통)의 영업이익률(%)은 7%이며 기준일은 2024-03-31입니다.,6.73
2023-12-31,2023,YTD,2023 YTD,건자재,매출액,매출액,1117731,백만원,2023YTD|건자재|매출액|매출액|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2023년 YTD분기 사업부 부문정보 기준 건자재의 매출액은 1117731백만원이며 기준일은 2023-12-31입니다.,1117731
2023-12-31,2023,YTD,2023 YTD,건자재,영업이익,영업이익,193284,백만원,2023YTD|건자재|영업이익|영업이익|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 YTD분기 사업부 부문정보 기준 건자재의 영업이익은 193284백만원이며 기준일은 2023-12-31입니다.,193284
2023-12-31,2023,YTD,2023 YTD,기타,매출액,매출액,561298,백만원,2023YTD|기타|매출액|매출액|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2023년 YTD분기 사업부 부문정보 기준 기타의 매출액은 561298백만원이며 기준일은 2023-12-31입니다.,561298
2023-12-31,2023,YTD,2023 YTD,기타,영업이익,영업이익,3906,백만원,2023YTD|기타|영업이익|영업이익|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 YTD분기 사업부 부문정보 기준 기타의 영업이익은 3906백만원이며 기준일은 2023-12-31입니다.,3906
2023-12-31,2023,YTD,2023 YTD,도료,매출액,매출액,1657002,백만원,2023YTD|도료|매출액|매출액|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 도료 매출액 | 사업부 | 부문정보 | 도료 | 매출액 | 도료사업부 | paint | 매출 | sales | revenue | 백만원,2023년 YTD분기 사업부 부문정보 기준 도료의 매출액은 1657002백만원이며 기준일은 2023-12-31입니다.,1657002
2023-12-31,2023,YTD,2023 YTD,도료,영업이익,영업이익,175879,백만원,2023YTD|도료|영업이익|영업이익|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 YTD분기 사업부 부문정보 기준 도료의 영업이익은 175879백만원이며 기준일은 2023-12-31입니다.,175879
2023-12-31,2023,YTD,2023 YTD,실리콘,매출액,매출액,2952410,백만원,2023YTD|실리콘|매출액|매출액|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2023년 YTD분기 사업부 부문정보 기준 실리콘의 매출액은 2952410백만원이며 기준일은 2023-12-31입니다.,2952410
2023-12-31,2023,YTD,2023 YTD,실리콘,영업이익,영업이익,-83253,백만원,2023YTD|실리콘|영업이익|영업이익|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 YTD분기 사업부 부문정보 기준 실리콘의 영업이익은 -83253백만원이며 기준일은 2023-12-31입니다.,-83253
2023-12-31,2023,YTD,2023 YTD,연결조정,영업이익,영업이익,22714,백만원,2023YTD|연결조정|영업이익|영업이익|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 연결조정 영업이익 | 사업부 | 부문정보 | 연결조정 | 영업이익 | 조정 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 YTD분기 사업부 부문정보 기준 연결조정의 영업이익은 22714백만원이며 기준일은 2023-12-31입니다.,22714
