재무제표,계정과목,기간,금액,단위
연결손익계산서,희석주당손익 (단위 : 원),1Q23," 1,106 ",백만원
연결손익계산서,매출액,2Q23," 1,588,345 ",백만원
연결손익계산서,매출원가,2Q23," 1,241,872 ",백만원
연결손익계산서,매출총이익,2Q23," 346,473 ",백만원
연결손익계산서,판매비와관리비,2Q23," 256,089 ",백만원
연결손익계산서,영업이익,2Q23," 90,384 ",백만원
연결손익계산서,지분법손익,2Q23,"-4,872 ",백만원
연결손익계산서,순금융손익,2Q23," 43,836 ",백만원
연결손익계산서,금융수익,2Q23," 250,334 ",백만원
연결손익계산서,금융원가,2Q23,"-206,499 ",백만원
연결손익계산서,기타영업외손익,2Q23,"-10,984 ",백만원
연결손익계산서,기타이익,2Q23," 14,802 ",백만원
연결손익계산서,기타손실,2Q23,"-25,786 ",백만원
연결손익계산서,법인세비용차감전순손익,2Q23," 118,363 ",백만원
연결손익계산서,법인세비용(수익),2Q23," 51,040 ",백만원
연결손익계산서,당기순손익,2Q23," 67,324 ",백만원
연결손익계산서,기타포괄손익,2Q23,"-75,282 ",백만원
연결손익계산서,지분법자본변동?,2Q23,"-10,940 ",백만원
연결손익계산서,현금흐름위험회피,2Q23,"-16,303 ",백만원
연결손익계산서,해외사업환산손익 등,2Q23,"-50,129 ",백만원
연결손익계산서,확정급여제도의 재측정요소,2Q23, 1 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q23," 2,089 ",백만원
연결손익계산서,총포괄손익,2Q23,"-7,958 ",백만원
연결손익계산서,지배기업소유주지분,2Q23," 90,993 ",백만원
연결손익계산서,비지배지분,2Q23,"-23,669 ",백만원
연결손익계산서,지배기업소유주지분,2Q23," 37,431 ",백만원
연결손익계산서,비지배지분,2Q23,"-45,389 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),2Q23," 12,373 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),2Q23," 12,373 ",백만원
연결손익계산서,매출액,3Q23," 1,552,725 ",백만원
연결손익계산서,매출원가,3Q23," 1,223,040 ",백만원
연결손익계산서,매출총이익,3Q23," 329,684 ",백만원
연결손익계산서,판매비와관리비,3Q23," 241,255 ",백만원
연결손익계산서,영업이익,3Q23," 88,430 ",백만원
연결손익계산서,지분법손익,3Q23,"-14,494 ",백만원
연결손익계산서,순금융손익,3Q23,"-9,376 ",백만원
연결손익계산서,금융수익,3Q23," 107,962 ",백만원
연결손익계산서,금융원가,3Q23,"-117,337 ",백만원
연결손익계산서,기타영업외손익,3Q23, 408 ,백만원
연결손익계산서,기타이익,3Q23," 10,562 ",백만원
연결손익계산서,기타손실,3Q23,"-10,154 ",백만원
연결손익계산서,법인세비용차감전순손익,3Q23," 64,968 ",백만원
연결손익계산서,법인세비용(수익),3Q23," 53,730 ",백만원
연결손익계산서,당기순손익,3Q23," 11,238 ",백만원
연결손익계산서,기타포괄손익,3Q23,"-32,398 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q23,"-30,876 ",백만원
연결손익계산서,지분법자본변동?,3Q23," 1,788 ",백만원
연결손익계산서,현금흐름위험회피,3Q23,"-23,361 ",백만원
연결손익계산서,해외사업환산손익 등,3Q23,"-9,303 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q23,"-1,523 ",백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q23,"-1,523 ",백만원
연결손익계산서,총포괄손익,3Q23,"-21,160 ",백만원
연결손익계산서,지배기업소유주지분,3Q23," 46,964 ",백만원
연결손익계산서,비지배지분,3Q23,"-35,726 ",백만원
연결손익계산서,지배기업소유주지분,3Q23," 30,054 ",백만원
연결손익계산서,비지배지분,3Q23,"-51,215 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),3Q23," 6,386 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),3Q23," 6,386 ",백만원
연결손익계산서,매출액,4Q23," 1,582,430 ",백만원
연결손익계산서,매출원가,4Q23," 1,243,487 ",백만원
연결손익계산서,매출총이익,4Q23," 338,943 ",백만원
연결손익계산서,판매비와관리비,4Q23," 281,054 ",백만원
연결손익계산서,영업이익,4Q23," 57,889 ",백만원
연결손익계산서,지분법손익,4Q23,"-166,504 ",백만원
연결손익계산서,순금융손익,4Q23," 171,390 ",백만원
연결손익계산서,금융수익,4Q23," 355,359 ",백만원
연결손익계산서,금융원가,4Q23," 183,969 ",백만원
연결손익계산서,기타영업외손익,4Q23,"-29,757 ",백만원
연결손익계산서,기타이익,4Q23," 7,376 ",백만원
연결손익계산서,기타손실,4Q23,"-37,132 ",백만원
연결손익계산서,법인세비용차감전순손익,4Q23," 33,019 ",백만원
