data_type,account_name,date,year,quarter,value_raw
재무상태표,부채총계,2022-12-31,2022,Q4,"3,891,106,992,683"
재무상태표,자본,2022-12-31,2022,Q4,
재무상태표,자본금,2022-12-31,2022,Q4,"48,084,660,000"
재무상태표,자본잉여금,2022-12-31,2022,Q4,"553,070,812,612"
재무상태표,자본조정,2022-12-31,2022,Q4,"-304,846,768,510"
재무상태표,기타포괄손익누계액,2022-12-31,2022,Q4,"-33,244,082,600"
재무상태표,이익잉여금,2022-12-31,2022,Q4,"4,648,907,999,023"
재무상태표,자본총계,2022-12-31,2022,Q4,"4,911,972,620,525"
재무상태표,부채및자본총계,2022-12-31,2022,Q4,"8,803,079,613,208"
재무상태표,nan,2022-12-31,2022,Q4,
재무상태표,"검증1 (부채, 자본)",2022-12-31,2022,Q4,TRUE
재무상태표,검증2 (자산),2022-12-31,2022,Q4,TRUE
재무상태표,nan,2022-12-31,2022,Q4,
재무상태표,nan,2022-12-31,2022,Q4,
재무상태표,자산,2023-03-31,2023,Q1,
재무상태표,유동자산,2023-03-31,2023,Q1,"2,158,317,269,586"
재무상태표,현금및현금성자산,2023-03-31,2023,Q1,"555,886,473,413"
재무상태표,단기금융상품,2023-03-31,2023,Q1,"474,572,401,110"
재무상태표,매출채권,2023-03-31,2023,Q1,"554,069,328,023"
재무상태표,기타채권,2023-03-31,2023,Q1,"79,352,913,124"
재무상태표,매출채권 및 기타유동채권,2023-03-31,2023,Q1,
재무상태표,선급금,2023-03-31,2023,Q1,"5,190,493,180"
재무상태표,선급비용,2023-03-31,2023,Q1,"13,578,337,821"
재무상태표,기타유동금융자산,2023-03-31,2023,Q1,"3,404,553,464"
재무상태표,미수법인세환급액,2023-03-31,2023,Q1,
재무상태표,재고자산,2023-03-31,2023,Q1,"472,262,769,451"
재무상태표,매각예정분류자산,2023-03-31,2023,Q1,
재무상태표,소유주분배예정자산집단,2023-03-31,2023,Q1,
재무상태표,비유동자산,2023-03-31,2023,Q1,"6,802,872,085,402"
재무상태표,장기매출채권,2023-03-31,2023,Q1,"879,816,830"
재무상태표,장기매출채권 및 기타비유동채권,2023-03-31,2023,Q1,
재무상태표,기타채권,2023-03-31,2023,Q1,"65,894,087,544"
재무상태표,기타비유동금융자산,2023-03-31,2023,Q1,"2,220,663,987,470"
재무상태표,관계기업 및 공동기업투자,2023-03-31,2023,Q1,"556,896,556,258"
재무상태표,종속기업투자,2023-03-31,2023,Q1,"1,599,393,868,606"
재무상태표,사용권자산,2023-03-31,2023,Q1,"28,842,120,262"
재무상태표,유형자산,2023-03-31,2023,Q1,"1,629,393,091,724"
재무상태표,무형자산,2023-03-31,2023,Q1,"8,261,528,162"
재무상태표,투자부동산,2023-03-31,2023,Q1,"655,734,056,647"
재무상태표,순확정급여자산,2023-03-31,2023,Q1,"36,912,971,899"
재무상태표,자산총계,2023-03-31,2023,Q1,"8,961,189,354,988"
재무상태표,부채,2023-03-31,2023,Q1,
재무상태표,유동부채,2023-03-31,2023,Q1,"2,548,866,860,569"
재무상태표,매입채무,2023-03-31,2023,Q1,"254,155,656,844"
재무상태표,매입채무 및 기타유동채무,2023-03-31,2023,Q1,
재무상태표,기타부채,2023-03-31,2023,Q1,"522,102,483,782"
재무상태표,단기차입금,2023-03-31,2023,Q1,"892,067,523,222"
재무상태표,유동성장기차입금,2023-03-31,2023,Q1,"400,000,000,000"
재무상태표,유동성사채,2023-03-31,2023,Q1,"469,846,388,336"
재무상태표,유동파생상품부채,2023-03-31,2023,Q1,
재무상태표,유동충당부채,2023-03-31,2023,Q1,"2,383,943,721"
재무상태표,기타유동금융부채,2023-03-31,2023,Q1,
재무상태표,미지급법인세,2023-03-31,2023,Q1,"8,310,864,664"
재무상태표,소유주분배예정부채집단,2023-03-31,2023,Q1,
재무상태표,비유동부채,2023-03-31,2023,Q1,"1,495,006,458,060"
재무상태표,장기차입금,2023-03-31,2023,Q1,"266,587,056,460"
재무상태표,비유동사채,2023-03-31,2023,Q1,"798,672,518,696"
재무상태표,기타부채,2023-03-31,2023,Q1,"96,532,745,172"
재무상태표,기타비유동금융부채,2023-03-31,2023,Q1,"31,577,606,919"
재무상태표,순확정급여부채,2023-03-31,2023,Q1,
재무상태표,기타장기종업원급여부채,2023-03-31,2023,Q1,"4,086,216,511"
재무상태표,비유동충당부채,2023-03-31,2023,Q1,"714,931,504"
재무상태표,이연법인세부채,2023-03-31,2023,Q1,"296,835,382,798"
재무상태표,종업원급여부채,2023-03-31,2023,Q1,
재무상태표,부채총계,2023-03-31,2023,Q1,"4,043,873,318,629"
재무상태표,자본,2023-03-31,2023,Q1,
재무상태표,자본금,2023-03-31,2023,Q1,"48,084,660,000"
재무상태표,자본잉여금,2023-03-31,2023,Q1,"553,070,812,612"
재무상태표,자본조정,2023-03-31,2023,Q1,"-304,846,768,510"
재무상태표,기타포괄손익누계액,2023-03-31,2023,Q1,"-32,073,588,309"
재무상태표,이익잉여금,2023-03-31,2023,Q1,"4,653,080,920,566"
재무상태표,자본총계,2023-03-31,2023,Q1,"4,917,316,036,359"
재무상태표,부채및자본총계,2023-03-31,2023,Q1,"8,961,189,354,988"
재무상태표,nan,2023-03-31,2023,Q1,
재무상태표,"검증1 (부채, 자본)",2023-03-31,2023,Q1,TRUE
재무상태표,검증2 (자산),2023-03-31,2023,Q1,TRUE
재무상태표,nan,2023-03-31,2023,Q1,
재무상태표,nan,2023-03-31,2023,Q1,
재무상태표,자산,2023-06-30,2023,Q2,
재무상태표,유동자산,2023-06-30,2023,Q2,"2,340,728,488,267"
재무상태표,현금및현금성자산,2023-06-30,2023,Q2,"689,533,028,938"
재무상태표,단기금융상품,2023-06-30,2023,Q2,"518,738,493,153"
재무상태표,매출채권,2023-06-30,2023,Q2,"571,215,843,926"
재무상태표,기타채권,2023-06-30,2023,Q2,"34,993,719,249"
재무상태표,매출채권 및 기타유동채권,2023-06-30,2023,Q2,
재무상태표,선급금,2023-06-30,2023,Q2,"6,315,524,626"
재무상태표,선급비용,2023-06-30,2023,Q2,"12,136,298,578"
재무상태표,기타유동금융자산,2023-06-30,2023,Q2,"5,060,480,923"
재무상태표,미수법인세환급액,2023-06-30,2023,Q2,
재무상태표,재고자산,2023-06-30,2023,Q2,"502,735,098,874"
재무상태표,매각예정분류자산,2023-06-30,2023,Q2,
재무상태표,소유주분배예정자산집단,2023-06-30,2023,Q2,
재무상태표,비유동자산,2023-06-30,2023,Q2,"6,904,157,665,186"
재무상태표,장기매출채권,2023-06-30,2023,Q2,"1,561,336,190"
재무상태표,장기매출채권 및 기타비유동채권,2023-06-30,2023,Q2,
재무상태표,기타채권,2023-06-30,2023,Q2,"58,770,086,673"
재무상태표,기타비유동금융자산,2023-06-30,2023,Q2,"2,306,180,132,142"
재무상태표,관계기업 및 공동기업투자,2023-06-30,2023,Q2,"557,931,215,746"
재무상태표,종속기업투자,2023-06-30,2023,Q2,"1,609,096,068,606"
재무상태표,사용권자산,2023-06-30,2023,Q2,"29,305,023,255"
재무상태표,유형자산,2023-06-30,2023,Q2,"1,641,970,535,571"
재무상태표,무형자산,2023-06-30,2023,Q2,"8,247,421,881"
재무상태표,투자부동산,2023-06-30,2023,Q2,"655,237,313,621"
재무상태표,순확정급여자산,2023-06-30,2023,Q2,"35,858,531,501"
재무상태표,자산총계,2023-06-30,2023,Q2,"9,244,886,153,453"
재무상태표,부채,2023-06-30,2023,Q2,
재무상태표,유동부채,2023-06-30,2023,Q2,"2,611,180,257,375"
재무상태표,매입채무,2023-06-30,2023,Q2,"274,767,027,076"
재무상태표,매입채무 및 기타유동채무,2023-06-30,2023,Q2,
재무상태표,기타부채,2023-06-30,2023,Q2,"522,247,120,692"
