기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,기타영업외손익,-5680,백만원,2025년2분기_순분기|연결손익계산서|기타영업외손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 기타영업외손익 | 연결손익계산서 | 순분기 | 기타영업외손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 기타영업외손익은(는) -5680백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,기타이익,11915,백만원,2025년2분기_순분기|연결손익계산서|기타이익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 기타이익 | 연결손익계산서 | 순분기 | 기타이익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 기타이익은(는) 11915백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,기타포괄손익,-84266,백만원,2025년2분기_순분기|연결손익계산서|기타포괄손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 기타포괄손익 | 연결손익계산서 | 순분기 | 기타포괄손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 기타포괄손익은(는) -84266백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),749,백만원,2025년2분기_순분기|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 연결손익계산서 | 순분기 | 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실)은(는) 749백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,당기순손익,893271,백만원,2025년2분기_순분기|연결손익계산서|당기순손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 당기순손익 | 연결손익계산서 | 순분기 | 당기순손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 당기순손익은(는) 893271백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,매출액,1705264,백만원,2025년2분기_순분기|연결손익계산서|매출액|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 매출액 | 연결손익계산서 | 순분기 | 매출액 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 매출액은(는) 1705264백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,매출원가,1267996,백만원,2025년2분기_순분기|연결손익계산서|매출원가|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 매출원가 | 연결손익계산서 | 순분기 | 매출원가 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 매출원가은(는) 1267996백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,매출총이익,437268,백만원,2025년2분기_순분기|연결손익계산서|매출총이익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 매출총이익 | 연결손익계산서 | 순분기 | 매출총이익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 매출총이익은(는) 437268백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,법인세비용(수익),373498,백만원,2025년2분기_순분기|연결손익계산서|법인세비용(수익)|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 법인세비용(수익) | 연결손익계산서 | 순분기 | 법인세비용(수익) | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 법인세비용(수익)은(는) 373498백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,법인세비용차감전순손익,1266769,백만원,2025년2분기_순분기|연결손익계산서|법인세비용차감전순손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 법인세비용차감전순손익 | 연결손익계산서 | 순분기 | 법인세비용차감전순손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 법인세비용차감전순손익은(는) 1266769백만원입니다.
