순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
1-1-09,      기타유동금융자산,"1,384,314,733 ","10,583,022,139 ","256,787,148 ","334,648,875 ","158,151,510 ","328,184,071 ","286,107,380 ","1,099,991,128 ","1,012,784,678 ","1,675,726,242 ","6,479,675,837 ","5,380,794,668 ","6,235,065,517 ","10,082,652,648 ","6,015,454,964 ","7,278,804,728 ","7,747,695,378 ","2,853,157,914 ","2,163,288,709 ","2,441,155,065 ","3,064,605,491 ","3,882,132,787 ","2,942,330,343 ","3,839,800,045 ","3,404,553,464 ","5,060,480,923 ","60,182,828,666 ","32,224,008,079 ","21,085,951,351 ","18,838,416,221 ","16,384,871,962 ","21,694,681,916 ","3,308,780,593 ","2,839,456,296 ","1,445,523,105 "
1-1-10,      미수법인세환급액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,041,660,186 ","4,668,000,968 ","897,424,956 ","929,565,841 ","905,943,813 ","1,155,864,432 ","1,131,351,460 ","1,694,001,822 ","1,435,972,685 ","2,525,427,850 ","2,855,826,160 ","2,618,988,908 ","1,256,309,096 ","858,082,171 ","959,695,669 ","1,147,540,533 ","1,253,975,968 ","3,237,564,782 ","1,870,038,922 ","1,931,281,544 ","1,468,674,803 ","2,716,730,328 "
1-1-11,      재고자산,"541,905,355,740 ","536,359,927,384 ","560,056,975,637 ","549,494,719,206 ","566,817,168,440 ","572,436,437,353 ","606,069,093,790 ","592,569,704,446 ","581,026,335,380 ","573,634,411,392 ","596,429,889,173 ","481,101,854,114 ","1,021,050,114,624 ","1,014,161,604,928 ","940,759,913,471 ","911,513,169,052 ","1,001,466,647,104 ","1,083,712,817,221 ","1,158,616,860,081 ","1,306,421,988,122 ","1,445,238,609,087 ","1,570,112,025,660 ","1,661,664,176,605 ","1,576,100,223,492 ","1,585,826,748,436 ","1,533,258,657,578 ","1,473,785,015,460 ","1,398,999,724,007 ","1,418,845,104,388 ","1,466,658,345,747 ","1,489,241,854,555 ","1,583,235,991,296 ","1,601,323,187,426 ","1,513,019,540,527 ","1,508,228,412,491 "
1-1-12,      매각예정분류자산,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"22,482,063,000 ","22,482,063,000 ","22,482,063,000 ","22,482,063,000 ",0 ,0 ,0 ,"22,482,063,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-2,   소유주분배예정자산집단,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,170,751,372,755 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-3,   비유동자산,"7,003,277,480,843 ","7,762,633,840,377 ","7,453,557,180,059 ","7,091,522,412,769 ","7,568,077,812,112 ","6,562,525,960,664 ","6,839,104,015,439 ","6,319,809,481,608 ","6,307,709,676,939 ","6,695,034,385,077 ","6,602,142,375,466 ","6,151,880,891,428 ","8,572,404,237,306 ","8,942,104,489,917 ","8,579,271,252,734 ","8,975,416,620,704 ","8,902,773,967,016 ","9,719,458,903,477 ","9,468,365,139,648 ","9,210,736,854,593 ","9,030,509,212,187 ","9,328,258,662,379 ","9,284,742,799,802 ","9,088,703,544,221 ","9,083,349,499,305 ","9,108,641,725,856 ","9,061,670,203,078 ","9,175,278,111,709 ","9,712,507,639,968 ","9,245,830,178,792 ","9,130,814,876,014 ","9,114,061,744,177 ","10,570,485,691,101 ","11,577,430,288,280 ","12,193,005,839,987 "
1-3-01,      장기매출채권,"5,554,034,717 ","4,637,001,869 ",0 ,0 ,"2,442,257,792 ","1,695,671,429 ","2,220,538,390 ","2,428,184,828 ","2,663,617,815 ","2,820,702,559 ","2,252,040,239 ","1,520,462,691 ","1,080,078,809 ","1,232,051,065 ","845,572,285 ","749,131,998 ","603,988,278 ","287,030,607 ","264,272,628 ","259,736,709 ","326,525,379 ","586,526,567 ","721,456,995 ","808,741,341 ","881,185,206 ","1,561,336,190 ","1,529,854,952 ","1,655,272,037 ","836,506,558 ","1,318,146,961 ","682,298,531 ","492,399,886 ","455,962,798 ","412,616,296 ","691,766,551 "
1-3-02,      기타비유동채권,0 ,0 ,0 ,0 ,"63,829,431,271 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-3-03,      장기매출채권 및 기타비유동채권,0 ,0 ,"93,167,630,688 ","62,262,517,647 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-3-04,      기타채권,"86,388,109,697 ","87,063,739,016 ",0 ,0 ,0 ,"64,343,285,262 ","69,444,908,885 ","70,347,617,321 ","76,632,300,022 ","75,745,203,742 ","75,023,455,843 ","61,961,778,905 ","97,857,687,731 ","63,717,781,193 ","79,986,782,992 ","78,638,296,263 ","77,182,401,984 ","87,637,173,855 ","90,259,218,745 ","92,853,695,496 ","90,550,125,031 ","90,318,885,336 ","96,082,726,811 ","84,658,653,465 ","87,773,304,932 ","89,962,638,414 ","90,757,880,111 ","89,214,901,622 ","90,858,537,478 ","93,487,370,297 ","90,840,058,774 ","94,180,691,393 ","93,662,303,722 ","92,914,938,614 ","93,607,468,997 "
1-3-05,      기타비유동금융자산,"3,301,820,877,579 ","3,971,069,004,890 ","3,619,502,729,544 ","3,302,745,714,518 ","3,771,569,485,885 ","2,853,526,030,484 ","3,179,862,234,300 ","2,664,464,268,671 ","2,636,194,808,661 ","2,396,828,559,953 ","2,281,363,487,064 ","2,594,004,903,930 ","2,017,132,038,280 ","2,530,209,302,123 ","2,330,598,668,547 ","3,034,180,900,973 ","2,948,598,127,808 ","3,175,577,195,876 ","2,804,620,661,182 ","2,675,927,792,032 ","2,443,398,844,292 ","2,613,109,234,755 ","2,249,355,583,773 ","2,386,440,960,253 ","2,302,180,221,253 ","2,374,117,631,494 ","2,316,001,021,747 ","2,723,865,225,479 ","3,207,444,384,584 ","3,047,766,296,053 ","3,058,083,942,927 ","2,767,067,321,178 ","2,735,746,904,285 ","3,989,058,845,200 ","4,530,147,308,336 "
