구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기 3개월,당기 1분기 누적,전기 1분기 3개월,전기 1분기 누적,전기,전전기
entity00105271_udf_IS_201543152745950_StatementOfComprehensiveIncomeAbstract기타 이익,   기타이익,08-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201543152745950_StatementOfComprehensiveIncomeAbstract,기타 이익,"8,196,496,619","8,196,496,619","6,169,615,308","6,169,615,308","24,563,905,405","30,837,888,835"
entity00105271_udf_IS_20154315274810_StatementOfComprehensiveIncomeAbstract기타 손실,   기타손실,08-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_20154315274810_StatementOfComprehensiveIncomeAbstract,기타 손실,"-11,124,871,607","-11,124,871,607","-9,598,737,385","-9,598,737,385","-123,440,813,685","-41,540,248,114"
ifrs_ProfitLossBeforeTax법인세비용차감전순이익(손실),법인세비용차감전이익,09,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"44,710,135,092","44,710,135,092","78,386,146,864","78,386,146,864","231,990,124,580","250,731,258,747"
entity00105271_udf_IS_201152515857312_StatementOfComprehensiveIncomeAbstract법인세비용(수익),법인세비용(수익),10,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515857312_StatementOfComprehensiveIncomeAbstract,법인세비용(수익),"10,596,030,130","10,596,030,130","19,700,803,646","19,700,803,646","79,028,250,917","65,678,737,907"
entity00105271_udf_IS_201152515936843_StatementOfComprehensiveIncomeAbstract당기순이익(손실),당기순손익,11,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515936843_StatementOfComprehensiveIncomeAbstract,당기순이익(손실),"34,114,104,962","34,114,104,962","58,685,343,218","58,685,343,218","152,961,873,663","185,052,520,840"
ifrs_OtherComprehensiveIncome기타포괄손익,기타포괄손익,12,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_OtherComprehensiveIncome,기타포괄손익,"64,568,646,543","64,568,646,543","106,281,536,359","106,281,536,359","36,185,201,353","-457,793,728,333"
entity00105271_udf_IS_2015515104354432_StatementOfComprehensiveIncomeAbstract후속기간에 당기손익으로 재분류되는 항목,   후속기간에 당기손익으로 재분류되는 항목,12-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2015515104354432_StatementOfComprehensiveIncomeAbstract,후속기간에 당기손익으로 재분류되는 항목,"64,568,646,543","64,568,646,543","106,281,536,359","106,281,536,359","20,818,822,453","-451,443,659,535"
entity00105271_udf_IS_201152515946484_StatementOfComprehensiveIncomeAbstract매도가능금융자산평가손익,      매도가능금융자산평가손익(세후기타포괄손익),12-01-04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515946484_StatementOfComprehensiveIncomeAbstract,매도가능금융자산평가손익,"100,463,049,637","100,463,049,637","108,666,664,238","108,666,664,238","33,526,938,615","-456,515,708,220"
entity00105271_udf_IS_201152515959656_StatementOfComprehensiveIncomeAbstract지분법 적용대상인 관계기업의 자본변동,      지분법자본변동,12-01-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515959656_StatementOfComprehensiveIncomeAbstract,지분법 적용대상인 관계기업의 자본변동,"-11,334,132,581","-11,334,132,581","-2,173,487,138","-2,173,487,138","4,468,531,091","8,772,420,039"
entity00105271_udf_IS_201152515108656_StatementOfComprehensiveIncomeAbstract해외사업환산손익,      해외사업환산손익,12-01-03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515108656_StatementOfComprehensiveIncomeAbstract,해외사업환산손익,"-24,560,270,513","-24,560,270,513","-211,640,741","-211,640,741","-17,176,647,253","-3,700,371,354"
entity00105271_udf_IS_2015515104533722_StatementOfComprehensiveIncomeAbstract후속기간에 당기손익으로 재분류되지 않는 항목,   후속기간에 당기손익으로 재분류되지 않는 항목,12-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2015515104533722_StatementOfComprehensiveIncomeAbstract,후속기간에 당기손익으로 재분류되지 않는 항목,,,,,"15,366,378,900","-6,350,068,798"
entity00105271_udf_IS_2012227191930824_StatementOfComprehensiveIncomeAbstract보험수리적손익,      보험수리적손익,12-02-04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2012227191930824_StatementOfComprehensiveIncomeAbstract,보험수리적손익,,,,,"15,366,378,900","-6,350,068,798"
entity00105271_udf_IS_2011525151029437_StatementOfComprehensiveIncomeAbstract총포괄손익,총포괄손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011525151029437_StatementOfComprehensiveIncomeAbstract,총포괄손익,"98,682,751,505","98,682,751,505","164,966,879,577","164,966,879,577","189,147,075,016","-272,741,207,493"
entity00105271_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract당기순이익(손실)의 귀속,당기순손익의 귀속 :,14,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,,,,,,
"entity00105271_udf_IS_2011525151335859_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract   포괄손익, 지배기업의 소유주에게 귀속되는 지분",   지배기업소유주지분,14-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011525151335859_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract,"   포괄손익, 지배기업의 소유주에게 귀속되는 지분","34,024,159,475","34,024,159,475","58,615,900,542","58,615,900,542","152,332,926,969","183,556,917,097"
"entity00105271_udf_IS_2011525151353843_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract   포괄손익, 비지배지분",   비지배지분,14-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011525151353843_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract,"   포괄손익, 비지배지분","89,945,487","89,945,487","69,442,676","69,442,676","628,946,694","1,495,603,743"
entity00105271_udf_IS_201531211019973_StatementOfComprehensiveIncomeAbstract총포괄손익의 귀속,총포괄손익의 귀속 :,15,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201531211019973_StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속,,,,,,
"entity00105271_udf_IS_201531211043163_udf_IS_201531211019973_StatementOfComprehensiveIncomeAbstract   포괄손익, 지배기업의 소유주에게 귀속되는 지분",   지배기업소유주지분,15-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201531211043163_udf_IS_201531211019973_StatementOfComprehensiveIncomeAbstract,"   포괄손익, 지배기업의 소유주에게 귀속되는 지분","99,297,750,701","99,297,750,701","164,114,413,773","164,114,413,773","188,664,982,083","-272,682,372,255"
"entity00105271_udf_IS_201531211045753_udf_IS_201531211019973_StatementOfComprehensiveIncomeAbstract   포괄손익, 비지배지분",   비지배지분,15-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201531211045753_udf_IS_201531211019973_StatementOfComprehensiveIncomeAbstract,"   포괄손익, 비지배지분","-614,999,196","-614,999,196","852,465,804","852,465,804","482,092,933","-58,835,238"
entity00105271_udf_IS_2011525152844328_StatementOfComprehensiveIncomeAbstract주당손익,주당손익,16,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011525152844328_StatementOfComprehensiveIncomeAbstract,주당손익,,,,,,
entity00105271_udf_IS_201181892921187_udf_IS_2011525152844328_StatementOfComprehensiveIncomeAbstract   기본주당이익(손실),   기본주당이익(손실),16-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201181892921187_udf_IS_2011525152844328_StatementOfComprehensiveIncomeAbstract,   기본주당이익(손실),"3,460","3,460","5,983","5,983","15,491","18,730"
entity00105271_udf_IS_20111122113617984_udf_IS_2011525152844328_StatementOfComprehensiveIncomeAbstract   희석주당이익(손실),   희석주당이익(손실),16-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_20111122113617984_udf_IS_2011525152844328_StatementOfComprehensiveIncomeAbstract,   희석주당이익(손실),"3,460","3,460","5,983","5,983","15,491","18,730"
항목코드항목명,0,0,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 반기 3개월,당기 반기 누적,전기 반기 3개월,전기 반기 누적,전기,전전기
ifrs_Revenue수익 (매출액),매출액,01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_Revenue,수익 (매출액),"970,300,688,841","1,813,257,894,498","908,660,969,826","1,695,281,661,234",,
entity00105271_udf_IS_2011525145433625_StatementOfComprehensiveIncomeAbstract매출원가,매출원가,02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2011525145433625_StatementOfComprehensiveIncomeAbstract,매출원가,"731,877,101,442","1,365,513,378,069","660,061,368,079","1,225,166,984,165",,
ifrs_GrossProfit매출총이익,매출총이익,03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_GrossProfit,매출총이익,"238,423,587,399","447,744,516,429","248,599,601,747","470,114,677,069",,
dart_TotalSellingGeneralAdministrativeExpenses판매비와관리비,판매비와관리비,04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"146,390,195,617","284,508,891,450","143,367,430,719","279,213,647,019",,
dart_OperatingIncomeLoss영업이익(손실),영업이익,05,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"92,033,391,782","163,235,624,979","105,232,171,028","190,901,030,050",,
ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,지분법손익,06,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,"-2,313,008,691","-2,903,588,446","4,456,829,497","9,180,221,117",,
entity00105271_udf_IS_201152515845359_StatementOfComprehensiveIncomeAbstract순금융손익,순금융손익,07,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515845359_StatementOfComprehensiveIncomeAbstract,순금융손익,"7,616,543,372","-15,356,599,990","-22,004,905,376","-30,581,887,077",,
entity00105271_udf_IS_201152515658265_StatementOfComprehensiveIncomeAbstract금융수익,   금융수익,07-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515658265_StatementOfComprehensiveIncomeAbstract,금융수익,"31,903,786,959","67,961,696,429","8,410,650,171","32,241,375,440",,
entity00105271_udf_IS_20115251572921_StatementOfComprehensiveIncomeAbstract금융원가,   금융원가,07-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_20115251572921_StatementOfComprehensiveIncomeAbstract,금융원가,"-24,287,243,587","-83,318,296,419","-30,415,555,547","-62,823,262,517",,
entity00105271_udf_IS_2015312111238116_StatementOfComprehensiveIncomeAbstract기타영업외손익,기타영업외손익,08,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2015312111238116_StatementOfComprehensiveIncomeAbstract,기타영업외손익,"49,126,391","-2,879,248,597","-5,719,468,442","-9,148,590,519",,
entity00105271_udf_IS_201543152745950_StatementOfComprehensiveIncomeAbstract기타 이익,   기타이익,08-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201543152745950_StatementOfComprehensiveIncomeAbstract,기타 이익,"9,788,512,711","17,985,009,330","4,564,655,446","10,734,270,754",,
entity00105271_udf_IS_20154315274810_StatementOfComprehensiveIncomeAbstract기타 손실,   기타손실,08-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_20154315274810_StatementOfComprehensiveIncomeAbstract,기타 손실,"-9,739,386,320","-20,864,257,927","-10,284,123,888","-19,882,861,273",,
ifrs_ProfitLossBeforeTax법인세비용차감전순이익(손실),법인세비용차감전이익,09,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"97,386,052,854","142,096,187,946","81,964,626,707","160,350,773,571",,
entity00105271_udf_IS_201152515857312_StatementOfComprehensiveIncomeAbstract법인세비용(수익),법인세비용(수익),10,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515857312_StatementOfComprehensiveIncomeAbstract,법인세비용(수익),"27,349,448,787","37,945,478,917","21,533,567,749","41,234,371,395",,
entity00105271_udf_IS_201152515936843_StatementOfComprehensiveIncomeAbstract당기순이익(손실),당기순손익,11,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515936843_StatementOfComprehensiveIncomeAbstract,당기순이익(손실),"70,036,604,067","104,150,709,029","60,431,058,958","119,116,402,176",,
ifrs_OtherComprehensiveIncome기타포괄손익,기타포괄손익,12,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_OtherComprehensiveIncome,기타포괄손익,"514,873,937,006","579,442,583,549","-274,452,682,288","-168,171,145,929",,
entity00105271_udf_IS_2015515104354432_StatementOfComprehensiveIncomeAbstract후속기간에 당기손익으로 재분류되는 항목,   후속기간에 당기손익으로 재분류되는 항목,12-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2015515104354432_StatementOfComprehensiveIncomeAbstract,후속기간에 당기손익으로 재분류되는 항목,"514,873,937,006","579,442,583,549","-274,452,682,288","-168,171,145,929",,
entity00105271_udf_IS_201152515946484_StatementOfComprehensiveIncomeAbstract매도가능금융자산평가손익,      매도가능금융자산평가손익(세후기타포괄손익),12-01-04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515946484_StatementOfComprehensiveIncomeAbstract,매도가능금융자산평가손익,"508,298,655,675","608,761,705,312","-268,406,059,024","-159,739,394,786",,
entity00105271_udf_IS_201152515959656_StatementOfComprehensiveIncomeAbstract지분법 적용대상인 관계기업의 자본변동,      지분법자본변동,12-01-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515959656_StatementOfComprehensiveIncomeAbstract,지분법 적용대상인 관계기업의 자본변동,"3,375,224,209","-7,958,908,372","1,012,176,049","-1,161,311,089",,
entity00105271_udf_IS_201152515108656_StatementOfComprehensiveIncomeAbstract해외사업환산손익,      해외사업환산손익,12-01-03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152515108656_StatementOfComprehensiveIncomeAbstract,해외사업환산손익,"3,200,057,122","-21,360,213,391","-7,058,799,313","-7,270,440,054",,
entity00105271_udf_IS_2015515104533722_StatementOfComprehensiveIncomeAbstract후속기간에 당기손익으로 재분류되지 않는 항목,   후속기간에 당기손익으로 재분류되지 않는 항목,12-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2015515104533722_StatementOfComprehensiveIncomeAbstract,후속기간에 당기손익으로 재분류되지 않는 항목,,,,,,
entity00105271_udf_IS_2011525151029437_StatementOfComprehensiveIncomeAbstract총포괄손익,총포괄손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2011525151029437_StatementOfComprehensiveIncomeAbstract,총포괄손익,"584,910,541,073","683,593,292,578","-214,021,623,330","-49,054,743,753",,
entity00105271_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract당기순이익(손실)의 귀속,당기순손익의 귀속 :,14,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,,,,,,
"entity00105271_udf_IS_2011525151335859_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract   포괄손익, 지배기업의 소유주에게 귀속되는 지분",   지배기업소유주지분,14-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2011525151335859_udf_IS_2011525151121578_StatementOfComprehensiveIncomeAbstract,"   포괄손익, 지배기업의 소유주에게 귀속되는 지분","69,936,281,476","103,960,440,951","60,312,760,551","118,928,661,093",,
